行,取引先名,法人番号,採用値_億円,金額の出所,余裕率,G列,I列
333,武蔵コーポレーション株式会社,7030001012852,334.0,G列,11.3,334億円（2025年8月期・連結）,"○ 妥当：親会社のため連結値採用可。再検証で第20期（令和7年8月期）の連結売上高33,487百万円＝334.87億円（前期比15%増・20期連続増収）を確認し、G列334億円と一致。自社ドメインの決算公告PDF（musashicorp.jp/aboutus/accounts_r07.pdf）に連結損益が掲載され、連結対象が武蔵コミュニティー㈱・㈱ホームサポート等である旨の注記から同社が親会社であ"
2825,株式会社ビーイングホールディングス,8220001007865,335.15,I列(訂正),11.7,確認不可,"○ 妥当（G列訂正：科目は「売上高」ではなく「営業収益」）：株式会社ビーイングホールディングス（東証スタンダード・9145／陸運業）2025年12月期 連結営業収益 33,515百万円＝335.15億円（前期比+11.0%、営業利益2,304百万円）を2026年2月13日開示の決算短信〔日本基準〕（連結）で再現確認。HDのため連結で判定可（§3-3）。1次回収は「連結売上高」としたが決算短信P/L"
790,株式会社トヨタレンタリース名古屋,7180001022424,335.87,G列,12.0,335.87億円（2025年度・単体）,"○ 妥当（自社ドメイン限定検索で確証）：自社HP会社概要（trl-nagoya.co.jp限定検索）で売上高33,587百万円＝335.87億円（2025年度）を直接確認。同ページ上で従業員518名（2026年4月末）、レンタカー5,253台・リース42,982台（2026年3月末）、資本金5,000万円、設立1982年7月と併記されており、2025年度＝2026年3月期で鮮度も適合。法人番号71"
528,ジェイフィルム株式会社,5010001032615,336.0,I列(訂正),12.0,318億円（2026年3月期・単体）,○ 妥当（G列訂正：承認ソースで確認できる値は336億円・2025年3月期・単体）：三菱ケミカルグループ公式リリースに売上高336億円・従業員827名（2025年3月末）と記載。G列の「318億円・令和8年3月期」は承認ソースで再現できず。さらに2025年12月29日付で親会社が三菱ケミカル→丸の内キャピタルに変更（§6-7関連、自社リリース2025/8/1）。単体336億で子会社単体基準は充足。
4391,株式会社久原本家グループ本社,5290001063310,336.0,I列(訂正),12.0,336億円（2026年2月期・グループ連結）,○ 妥当（G列訂正：G列の「336億円（2026年2月期・グループ連結）」は承認ソースで再現できず。自社公式サイトで確認できるのはグループ売上高303億円〈2023年2月期〉・318億円〈2024年2月期〉・327億円〈2025年2月期〉の系列）。金額をシード指定して「336億円／2026年2月期」を検索しても一度も返らず、代わりに自社サイト系列の303億円（2023年2月期）・318億円（202
2953,株式会社ヤマシタ,7080001005414,336.6,G列,12.2,336.6億円（2025年3月期・単体）,"○ 妥当：336.6億円（2025年3月期）は検索でも同一の期・同一の値で再現（従業員2,829名／2025年3月末と併記）。承認ソースは自社ドメインのニュースリリースPDFおよび自社採用サイト「数字で見るヤマシタ」（§5-3-9）。2026年3月期の公表値は承認ソースで確認できず、2025年3月期が最新開示で§3-8の直近3期以内に適合。ただし基準300億に対し余裕12%と薄いため要監視。"
1503,株式会社日本アクア,4020001061696,336.71,G列,12.2,336.71億円（2025年12月期・単体）,"○ 妥当（反証試行済・確定）：2025年12月期決算短信〔日本基準〕(非連結)の売上高33,670百万円＝336.71億円（前期比+11.3%）を、自社IR掲載PDFとTDnet配信版の双方で再現。金額をシードにした検索でも同値が返り、1次値に誤りなし。東証1429・非連結開示のため単体＝全社で親会社不在、親子問題なし。300億超の余裕は約37億円と本ブロック最薄で、減収があれば反転しうる要監視行"
102,ロジスティードエクスプレス株式会社,8020001018222,338.04,G列,12.7,338.04億円（2026年3月期・単体）,"○ 妥当：自社HPに決算公告ページの存在を確認（承認ソース§5-3-5、自社ドメイン）。33,804,242千円=338.04億円の桁も検算一致（§6-1）。前期2025年3月期は約370.3億円（従業員559名）との情報もあり2期連続で300億超。ロジスティード100%子会社だが単体で基準充足し§3-3を満たす。ただし第74期公告本文は検索経由で確認できず、370→338億の減収基調で300億ラ"
3096,株式会社魚力,4010101000456,338.23,G列,12.7,338.23億円（2026年3月期・単体）,"○ 妥当：東証上場（7596）の親会社。EDINET有報の提出会社（単体）売上高33,822,804千円＝338.23億円（2026年3月期）でG列と一致、桁検算OK。同期の連結売上高は436億円（前期比19.0%増、最上鮮魚のM&A効果）で単体・連結いずれも300億超。決算期も直近期で§3-8の鮮度問題なし。単体値を採用しており連結の誤用もない。採用値338億は450億未満のため薄マージンとして"
1848,キヤノン化成株式会社,4050001016689,338.24,G列,12.7,338.24億円（2025年12月期・単体）,"○ 妥当：第76期（2025年12月期）売上高33,824百万円＝338.24億円を独立に再確認。§6-1検算OK（33,824÷100=338.24億円。3,382億円ではない）。キヤノン子会社だが単体338.24億円で300億以上、最新期。出典のgBizINFO決算公告は公的機関ソース（§3-4③）。閾値に近いが数値は確定。"
1466,株式会社オプトラン,1030001056764,338.61,G列,12.9,338.61億円（2025年12月期・連結）,"○ 妥当：2025年12月期 連結売上高338.61億円（前期比4.5%増）を決算短信で確認。33,861,286千円＝338.61億円で検算一致。東証上場（6235）の親会社のため連結採用可。ただし採用値は450億円未満で基準に近い。※同一数値が行1483中野冷機にも記載されており、そちらが転記疑い。"
1408,エステールホールディングス株式会社,7010401094724,338.9,G列,13.0,338.90億円（2026年3月期・連結）,○ 妥当：東証スタンダード（7872）上場のホールディングスであり、§3-3・2026/08/24濱本さん確認どおりグループ連結300億超で可。2026年3月期連結売上高338.9億円（前期比8.4%増、営業利益6.87億円）を再現確認しG列338億90百万円と一致。自社IRに同期の四半期決算短信PDFが実在。ただし基準300億をわずか13%上回るのみで採用値450億円未満のため薄マージン。次期の
1589,宮崎くみあいチキンフーズ株式会社,3350001001744,339.0,G列,13.0,339億円（2024年度・単体）,○ 妥当：全農チキンフーズグループ公式サイトの会社概要で売上高339億円・従業員841名（2025年3月現在）を確認。2024年度＝2025年3月期でG列と一致し、直近3期以内。全農チキンフーズ子会社だが当社単体で300億超。株式会社、法人番号3350001001744もgBizINFOで一致。架電可。※H列URLは現行の https://www.ja-zcf.co.jp/mc/corp/outl
2184,株式会社グッデイ,2290001030338,340.0,G列,13.3,約340億円（2025年3月期・単体）,"○ 妥当（反証試行で追認）：自社公式採用サイト会社概要の売上高約340億円（2025年3月）を独立検索で再現。従業員1,500名（うち正社員600名）、2026年1月現在65店舗（福岡43・大分7・佐賀7・熊本4・山口4）と事業規模も整合し桁検算OK。嘉穂無線ホールディングス（持株会社・傘下5社）の子会社だが単体340億円で300億超のため§3-3適合、グループ連結は不使用。基準に対する余裕が約4"
1146,倉敷化工株式会社,1260001013073,342.0,G列,14.0,342億円（2024年3月期・単体）,○ 妥当（鮮度に注意）：自社HP会社概要／「数字で見る倉敷化工」の単体売上高342億円（2024年3月期）を検索で再現確認。単体表記でありグループ値の誤用なし、本社は岡山県倉敷市連島町矢柄で法人番号1260001013073と整合（§6-2）。懸念：①基準比+14%と薄い、②自社HPが2024年3月期のまま更新されておらず2025年3月期・2026年3月期の値は未公表で、§3-8の直近3期の下限に
1748,中本パックス株式会社,8120001024730,342.17,G列,14.1,342.17億円（2026年2月期・単体）,○ 妥当：2026年2月期決算短信〔日本基準・連結〕（2026/4/10開示、東証7811）で連結売上高496億35百万円（前期比1.0%増・過去最高）を確認。G列の342.17億円はEDINET提出会社（単体）値で誤りではないが、上場親会社のため代表値は連結496.35億円。単体・連結いずれでも300億超で判定は動かない。
490,シャディ株式会社,3010401063385,343.0,G列,14.3,343億円（2025年12月期）,○ 妥当（薄い）：株式会社。自社HP『会社概要』(shaddy.jp/ir/company/)ベースで2025年12月期の年商343億円を確認、G列と一致。自社ドメイン内に電子公告ページも存在し承認ソースを自社サイトで確保できる。親子関係（持株会社傘下か否か）は今回確定できなかったが、採用値はシャディ株式会社自身の売上高であるため§3-3の判定に影響しない。300億超過幅は約14%と薄い。
1761,三協テック株式会社,8230001010570,343.0,G列,14.3,343億円（2026年3月期・単体）,"○ 妥当（反証試行済・維持）：自社ドメイン限定検索（sankyotec.jp/company/）で独立に再現確認＝売上高343億円（令和8年3月期＝2026年3月期）、資本金5,000万円、従業員934名（令和8年4月1日現在）、決算期3月、本社富山県高岡市早川70。単一法人の会社概要書式であり、傘下子会社の記載はなく『グループ』『連結』の注記も無いため単体値と判断（§6-4の連結誤用なし）。同社"
1963,日本設備工業株式会社,6010001065457,343.0,G列,14.3,343億円（2026年3月期・単体）,○ 妥当：自社HP会社概要および自社採用サイト「数字で見る日本設備工業」で2026年3月期（第60期）売上高343億円・従業員425名（2026/4/1）を再現確認。前々期277億→前期308億→当期343億と増収トレンドが整合。高砂熱学工業グループの一員とされるが、仮に子会社であっても単体343億円で§3-3の「子会社は単体300億以上」を満たすため判定は変わらない。基準比＋14%と薄いため、次
802,トリニティ工業株式会社,6180301021663,343.4,G列,14.5,343.40億円（2026年3月期・単体）,"○ 妥当：自社HP会社概要の単独売上高34,340百万円＝343.40億円（2026年3月期）。桁検算OK。前期2025年3月期の単独35,388百万円＝353.88億円も確認でき推移として整合。東証スタンダード上場（6382）の親会社のため単体・連結いずれでも可。ただし採用値343.40億円は基準300億に対し余裕が小さい。"
3700,株式会社ソフトクリエイトホールディングス,8011001012950,343.91,I列(訂正),14.6,309.51億円（2025年3月期・連結）,○ 妥当（G列訂正：最新は2026年3月期・連結343.91億円＝343億91百万円、前期比+11.1%。G列の309.51億円は2025年3月期の値で1期古い）。反証検索で自社決算短信PDF（softcreate-holdings.co.jp/cms/html/pdf/press/sof260511.pdf、2026/5/11開示）に直接一致を確認済み。東証上場の持株会社のため連結値採用は§3-
282,川口土木建築工業株式会社,2030001074253,344.0,G列,14.7,344.00億円（2024年9月期・単体）,○ 妥当：344億円（2024年9月期）で300億超、9月決算のため直近3期以内（§3-8）。ただし自社HP会社概要を再検索しても数値を再現できず。求人媒体（マイナビ／キャリタス＝禁止ソース）には2025年9月期397億円の記載があり、G列は1期古い可能性が高い。承認ソースで2025年9月期を確認できないため2024年9月期を維持。450億未満で余裕は小さい。
1857,株式会社駒井ハルテック,2120001028927,344.14,G列,14.7,344.14億円（2026年3月期・連結）,"○ 妥当：2026年3月期 決算短信〔連結〕で連結売上高34,414百万円＝344.14億円（前期比15.1%減）を独立に再現。桁検算一致。東証上場の親会社で連結値使用は§3-3適合。ただし基準300億に対し余裕は約44億円と薄く、前期比15.1%の減収基調のため次期に基準割れする可能性あり。次回リスト更新時は再確認推奨。"
4100,株式会社ＷＤＩ,8010401022997,345.18,G列,15.1,345.18億円（2026年3月期・連結）,"○ 妥当：2026年3月期（2026/5/14開示）の連結売上高34,518百万円＝345.18億円を確認。上場親会社のため§3-3により連結値でOK。桁検算一致。450億未満のため薄マージン行として扱う。"
145,株式会社日本ケアサプライ,3010401035013,345.32,I列(訂正),15.1,349.29億円（2026年3月期・連結）,"○ 妥当（G列訂正：単体表記に是正）：2026年3月期の連結売上高349億2,988万円（前期比+9.1%）を決算短信（TDnet ID 20260511523714／2026年5月12日開示）で独立再確認。ただし当社は三菱商事の連結子会社であり、§3-3では子会社は単体で判定するためG列は「345.32億円（2026年3月期・単体）」と記すべき（連結値の採用は§6-4に抵触）。単体・連結いずれも"
3999,株式会社ＲＥＶＯＬＵＴＩＯＮ,8250001006187,345.7,G列,15.2,345.70億円（2025年10月期・連結）,"○ 妥当：2025年10月期決算短信（2025/12/15公表）で連結売上高34,570百万円＝345.70億円を確認（前期比521.1%増。1次I列の「621.1%増」は誤記のため訂正）。筆頭株主は合同会社ＦＯ１の36.07%（2025/10/31時点、2026/1/9に28.68%へ低下）だが適時開示上「その他の関係会社」であり親会社ではないため、当社は子会社に該当せず§3-3により連結値でO"
3271,大伸化学株式会社,6010401016497,345.76,G列,15.3,345.76億円（2026年3月期・単体）,"○ 妥当（G列要確認：単体／連結の別と決算期）：東証スタンダード上場4629の親会社。2025年3月期の連結売上高347.11億円（前期比6.93%増）、2026年3月期の連結予想360.20億円を確認。採用値345.76億円（34,576,474千円）はこのどちらとも一致せず、2026年3月期連結実績か2025年3月期単体のいずれかと見られる。gBizINFOのEDINET財務値は連結を掲載する"
3536,東邦アセチレン株式会社,8010001034831,345.76,G列,15.3,345.76億円（2026年3月期・連結）,"○ 妥当（親子疑義を解消）：1次が残した「東ソー・日本酸素系＝子会社では」の疑いを検証し、東ソーの持株比率は24.7%（筆頭株主だが過半未満、日本酸素HD・丸紅も少数株主）で被支配子会社ではないことを確認。東証スタンダード4093の独立上場会社かつ㈱東酸・太平熔材等を特定子会社に持つ親会社のため§3-3により連結値採用可。2026年3月期連結売上高345億7,600万円（前期比0.7%減、営業利益"
1550,株式会社フリジポート,6010401046825,346.0,G列,15.3,346億円（2026年3月期・単体）,"○ 妥当：自社HP会社概要で売上高346億円（2026年3月）・従業員1,486名（2026年3月末）を確認。森永乳業100%出資子会社だが当社単体で300億超のため§3-3を満たす。グループ連結値の流用なし。株式会社・最新期。架電可。"
2767,株式会社内村,2120001041483,346.0,G列,15.3,346億円（2025年8月時点・単体）,○ 妥当：売上高346億円（2025年8月実績）・従業員142名（2025年8月31日時点）を確認。法人番号2120001041483と整合する大阪市本社の建設機械用・工業用部品の専門商社（1939年創業、海外10か国17拠点）。自社HPの会社情報ページおよび自社公開の「新中期経営計画2028」（2025年9月）PDFが実在。ただし自社ドメイン限定検索では346億円の数値を直接再現できず、同値はマ
3204,株式会社フォーラムエンジニアリング,3010401025641,346.83,I列(訂正),15.6,346.83億円（2025年3月期・単体）,"○ 妥当（G列訂正：①単体→連結の別が誤り ②決算期は2026年3月期へ更新可）。架電可否は○のまま。【G列訂正1・§6-4】346.83億円は「単体」ではない。2025年5月14日開示の『2025年３月期 決算短信〔日本基準〕（連結）』の連結売上高34,688百万円＝346.88億円（gBizINFO/EDINET表記34,683百万円）であり、正しくは『346.88億円（2025年3月期・連結"
331,東洋ガラス株式会社,4010701026116,347.0,G列,15.7,347億円（2026年3月期）,"○ 妥当：東洋製罐グループホールディングスの完全子会社。子会社は単体300億以上のみ可のところ、2026年3月期の単体売上高347億5,700万円（前年比▲1.03%）を確認し基準充足。自社HPに決算公告ページあり。ただし300億まで47億の薄マージンかつ前年比減収傾向のため、次期は要再判定。"
2199,弘果弘前中央青果株式会社,1420001009352,347.0,G列,15.7,347億円（2023年度・単体）,"○ 妥当：弘果弘前中央青果株式会社は青森県弘前市の独立系青果卸（法人番号1420001009352で照合済）。自社HP会社概要の令和5年度売上高347億円（税抜）は、別途確認できる2024年3月の売上高374億4,500万円（税込）と軽減税率8%で整合（374.45÷1.08≒347）し数値は正しい。G列の「2023年度」は実体としては2024年3月期。直近3期以内の下限にあたるため新期公表があれ"
2703,日本メディカルシステム株式会社,7040001027214,347.0,I列(訂正),15.7,347億円（2025年度・単体）,"○ 妥当（G列訂正：347億円は承認ソースで再現できない）：自社サイトで確認できる数値は「直営店売上308億円（2025年2月実績／2025年4月時点）、従業員1,971名・薬剤師468名、全国130店舗超」であり、G列の「347億円（2025年度・単体）」はjmsys.co.jp・EDINET・決算公告のいずれでも再現できなかった。347億円が載るのはSalesNow・doda・Baseconn"
2241,エース株式会社,6120001075437,347.2,G列,15.7,347.2億円（2025年度・連結）,○ 妥当：エース株式会社（鞄・ラゲージ。本社は東京都港区麻布台1-3-1麻布台ヒルズ森JPタワーへ移転済、旧・渋谷区神宮前）。子会社（大峽製鞄）を持つ親会社のため連結採用可。2025年度連結売上高347.2億円は自社公式ニュースリリース添付の会社概要が出典で、二次情報も同額347億円、2018年度連結329億円からの推移とも整合。ただし採用値は基準300億に対し余裕47億と薄く、「2025年度」の
3314,株式会社白洋舎,4011001018621,348.81,G列,16.3,348.81億円（2025年12月期・単体）,"○ 妥当：2025年12月期単体売上高34,881百万円＝348.81億円。桁検算一致（§6-1）。同期の連結は上期216.49億円・通期予想440億円規模で、上場親会社のため連結でも300億超。単体・連結いずれでも判定不変。なお正式商号は「株式会社白洋舍」（舍）。"
1810,丸高株式会社,8180001032694,349.0,I列(訂正),16.3,372億円（2025年・単体）,○ 妥当（G列訂正：349億円（2024年6月期・単体）・自社HP会社概要）：G列の「372億円（2025年・単体）」は承認ソースで再現できない。自社HP会社概要が公表するのは「売上高349億円（2024年6月期実績）」で決算期は6月期。H列出典の厚労省ハローワーク求人はURLがトップページのみで実体がなく求人票の自己申告値。本パスで再検索しても自社HPの最新掲載は2024年6月期349億円のまま
538,株式会社巴コーポレーション,9010001034839,349.51,G列,16.5,349.51億円（2026年3月期・連結）,"○ 妥当：2026年3月期の連結売上高349.51億円（前期比0.8%増、営業利益47.59億円）を決算短信ベースで確認。G列と一致。東証スタンダード上場（1921）の親会社なので連結値の採用で問題なし。ただし300億超の余裕が約50億しかなく薄い。検証途中で「35,552百万円」が返ったが、これは別法人・株式会社巴川コーポレーション（3878）の混入で本件とは無関係。"
1710,石塚硝子株式会社,4180001088187,349.99,G列,16.7,349.99億円（2026年3月期・単体）,○ 妥当（出典訂正）：1次が根拠にした日経記事は2025年10月付で2026年3月期の実績ではなかった。2026年3月期決算短信（日本基準・連結）で連結売上高595.1億円（前期比+6.3%）・営業利益41.6億円（+8.1%）を実績値として確認。石塚硝子は独立上場親会社のため§3-3により連結値で基準クリア。G列の単体349.99億円（2026年3月期・EDINET有報）も300億超のため判定不
3746,株式会社セレマ,2130001021294,351.47,G列,17.2,351.47億円（2025年7月期・単体）,"○ 妥当：2025年7月期売上高351億4,700万円（＝351.47億円）を自社HP会社概要掲載の決算（損益計算書）で確認。株式会社セレマはセレマグループ最上位の事業会社（親会社）で§3-3の子会社に該当せず。ただし300億基準に対する余裕が約51億と薄く、単体/グループの別は自社掲載の表記に依存するため、次期（2026年7月期）公表時に再確認を推奨。"
2297,株式会社ハンズマン,9350001008222,352.0,G列,17.3,352億円（2026年6月期・単体）,"○ 妥当：株式会社ハンズマン（東証スタンダード7636・非連結／親会社なし）。2026年6月期売上高352億5,100万円（前期比1.0%増・過去最高、経常15.29億円、純利10.55億円）を自社IR決算短信ページおよび宮崎日日新聞（決算期・売上高明記＝§3-4の新聞社ソース）で確認。単体決算のみの会社で連結混同の余地なし。G列「352億円（2026年6月期・単体）」は妥当（厳密値352.51億"
3053,株式会社はるやまホールディングス,1260001005475,352.0,G列,17.3,352億円（2026年3月期・連結）,"○ 妥当：2026年3月期決算短信〔日本基準〕（連結）売上高352億1,200万円を自社HP掲載PDFで確認。G列352億円と整合。東証上場のホールディングス（7416）でグループ連結300億超のため可（§3-3、2026/08/24濱本さん再確認）。ただし前期比2.6%減収、営業損失6億5,700万円・当期純損失10億9,400万円と減収赤字基調で、300億基準まで余裕約52億円。次期の割れを要"
2111,名菱テクニカ株式会社,9180001018453,353.0,G列,17.7,353億円（2025年度・単体）,"○ 妥当：三菱電機グループの子会社だが、自社HP「会社情報｜概要・沿革」が対象法人自身の売上高353億円（2025年度）を開示。従業員1,009名（2026年4月現在）・資本金6,000万円・本社名古屋市東区矢田南で、法人番号9180001018453の愛知県法人と一致（§6-2照合OK）。子会社単体で300億超。"
1510,株式会社ナガワ,7430001056297,353.85,G列,18.0,353.85億円（2026年3月期・単体）,"○ 妥当（G列要注記）：金額シード検索で35,385百万円は再現できず、確認できたのは2026年3月期の通期計画380億円（前期比+7.7%→2025年3月期実績≒352.8億円）、同期Q1売上80.1億円、Q3累計進捗率67.9%（≒258億円）。ただしH列の短信URL auto_20260513531169 は同社の実URL命名規則（2025/5/15通期=20250514…、Q1=20250"
633,株式会社カンセキ,8060001001208,354.7,I列(訂正),18.2,365億円（2025年2月期・単体）,○ 妥当（G列訂正：最新期は354.70億円〈2026年2月期・非連結＝単体〉）：反証検索で第52期＝2026年2月期決算短信〔日本基準〕(非連結)（2026/4/9開示）の売上高354億70百万円・営業利益5億29百万円・前期比▲3.0%を取得。逆算すると前期は約365.7億円でG列の365億円（2025年2月期）と一致するが、G列は1期古い。最新期でも300億超のため架電可。東証スタンダード9
3759,株式会社ＫｅｙＨｏｌｄｅｒ,1010001110481,356.3,G列,18.8,356.30億円（2025年12月期・連結売上収益）,○ 妥当：2025年12月期連結売上収益356.30億円（前期比14.6%増）を決算関連開示で再現確認。筆頭株主はJトラスト30.05%（2025年6月末）だが、2023年12月の株式一部譲渡で同社の連結子会社から持分法適用関連会社へ異動しており§3-3の子会社に該当しない前提で連結採用。300億基準への余裕が約56億と薄く、支配関係の変動があれば単体判定に切替が必要。
894,大和地所レジデンス株式会社,6010401033848,356.36,I列(訂正),18.8,356.36億円（2026年3月期・単体）,"○ 妥当（G列訂正：第35期356.36億円は3クエリ探索しても承認ソース・一般検索のいずれでも再現せず、期・金額とも要再確認）。自社電子公告／官報決算公告で裏付けが取れる直近は第34期(2024/4/1〜2025/3/31)売上高538億9,071万2千円、第33期528.95億円。第35期公告が未収録の可能性も残るが、1次値が誤りである疑いは消えない。株式会社・出典は自社HP電子公告で承認ソー"
3933,ハルナグループホールディングス株式会社,7070001009523,357.0,G列,19.0,357億円（2026年3月期・連結）,○ 妥当（§6-7 商号変更あり）：自社会社概要で2026年3月末の連結売上高357億円を確認。持株会社のため§3-3によりグループ連結値でOK。整合性も確認済（ハルナプロデュース2024年3月期連結342.31億円→上毛新聞2026/2/19『4〜12月期 売上高・利益ともに過去最高更新』）。※商号変更：ハルナビバレッジ株式会社→ハルナグループホールディングス株式会社（2026年）。リストの社名
402,株式会社テイクアンドギヴ・ニーズ,9010701022696,357.09,G列,19.0,357.09億円（2025年12月期・連結）,"○ 妥当：2025年12月期連結売上高35,709百万円＝357.09億円を決算短信（2026年2月13日開示）で確認。上場親会社で連結採用は適正。★注記：決算期変更に伴い当期は2025年4月1日〜12月31日の9か月変則決算（従来は3月期）。9か月で357億円のため年換算では余裕があるが、採用値自体は300億を57億上回るのみ。"
437,第一稀元素化学工業株式会社,8120001031181,357.51,G列,19.2,357.51億円（2026年3月期・連結）,○ 妥当（反証試行・維持／薄マージン）：独立の再検索で2026年3月期連結売上高357.51億円（前期比+6.3%）・営業利益34.79億円（同+52.4%）が再現され、決算短信は2026年5月14日開示、開示番号140120260513528057と一致。前期換算336.3億円とも整合し前年度値の掴まされではない。東証プライム上場の独立親会社（4082、上位に支配株主なし）のため§3-3により連
979,株式会社ユニホー,9180001003141,358.63,G列,19.5,358.63億円（2025年第55期・単体）,"○ 妥当（出典訂正・要§7-1確認）：判定は覆らず。第55期決算公告の売上高358億6,2xx万円＝約358.63億円（単体）を独立2クエリで再現、前期比+0.61%＝前期も約356億で300億超のため反転リスクは小。ただし1次H列の出典 https://www.uniho.co.jp/company/ は存在せず、自社HP（会社概要/office/、採用company.html）に売上高の記載は"
2090,セキスイハイム九州株式会社,7290001025218,359.0,G列,19.7,359億円（2026年3月期・単体）,○ 妥当：積水化学工業グループの子会社だが、自社HP企業情報が単体359億円／連結549億円（いずれも2026年3月実績、連結対象はセキスイファミエス九州・九州セキスイハイム不動産）と単体連結を分けて開示。G列は正しく単体359億円を採っており§3-3・§6-4の誤りなし。従業員600名（2026年4月現在）。
833,アスカ株式会社,1180301013673,360.03,G列,20.0,360.03億円（2025年11月期・単体）,"○ 妥当：上場親会社（7227・名証、愛知県刈谷市、法人番号1180301013673一致）。36,002,692千円＝360.03億円の桁検算OK。2025年11月期の連結売上高は会社計画450億円規模で、単体360.03億円と整合し連結・単体いずれでも300億超。基準に対する余裕は60億で薄めのため次期決算で再確認推奨。"
572,株式会社柿安本店,7190001012102,360.72,G列,20.2,360.72億円（2026年4月期・連結）,"○ 妥当：株式会社柿安本店（東証2294）。2026年6月10日開示の2026年4月期決算短信〔日本基準〕（連結）で連結売上高36,072百万円＝360.72億円（前期比0.1%減）を確認。桁検算済み（36,072百万円→360.72億円）。上場親会社のため§3-3により連結採用可。ただし基準300億に対し約60億の薄マージンで、単体値は未確認。"
17,株式会社合食,3140001012993,360.92,G列,20.3,360.92億円（2026年3月期・単体）,○ 妥当。みなと新聞(みなと山口合同新聞社=新聞社ソース、§3-4④)で「2026年3月期・単体・売上高360億9200万円(前期比6.7%減)」を確認、G列360.92億円と一致。決算期・単体の別も一致。株式会社・独立系親会社で単体300億超のため○で正しい。※H列記載の記事URL(163557)自体は検索結果に現れなかったが、同紙の合食決算記事連番(23年3月期134332/24年3月期144
834,株式会社デンソー宮崎,4350001004184,361.0,G列,20.3,361億円（2024年度・単体）,○ 妥当：デンソー100%子会社だが単体361億円（2024年度実績・従業員590名/2025年3月末）で300億超。自社HP会社概要（denso.com/group/denso-miyazaki/company-profile/about-company/）の記載内容と一致し、承認ソース要件を満たす。デンソー連結（約7兆円規模）を当てた形跡はなく、単体採用も正しい。判定○は妥当で架電してよい。な
1163,株式会社メガチップス,9120001058777,361.69,G列,20.6,361.69億円（2026年3月期・連結）,"○ 妥当：自社IRおよび日経で2026年3月期連結売上高36,169百万円＝361.69億円（前期比14.5%減）を再現確認。桁検算一致。同社は東証上場の親会社であり連結値の採用は§3-3で可。■注意：採用値450億円未満のうえ前期比14.5%減の減収基調で、営業損失17.4億円を計上。次期に300億を割る可能性があるため、期をまたぐ架電では再確認が必要。"
1541,中京テレビ放送株式会社,1180001008775,361.9,G列,20.6,361.90億円（2026年3月期・単体）,○ 妥当：2026年3月期売上高361.90億円（前期比+2.4%）を自社の決算発表資料で再現確認。持株会社を持たない独立局で親子判定の問題なし（日テレHDは少数株主）。法人格も株式会社。ただし採用値が450億円未満で基準300億との差が約62億円と薄いため、G列の数値を書き換える際は必ず通期（中間期ではない）値を使うこと。
1085,京都トヨタ自動車株式会社,4130001012168,362.0,I列(訂正),20.7,353億円（2023年度・単体）,○ 妥当（G列訂正：最新値は売上高362億円・2024年度〈2025年3月期〉。G列の『353億円（2023年度）』は1期古い）。自社HP会社案内 https://kyoto-toyota.jp/corporate の実在を確認。従業員520名（2025年4月1日現在）。単体362億円は基準300億を満たし、トヨタ販売店としての親子関係がどちらであっても単体で基準を超えるため親子判定は結論に影響し
2151,株式会社ヨシダ,4010501014675,362.6,G列,20.9,362.6億円（2025年7月期・単体）,○ 妥当（反証検索で数値確定）：自社ドメイン限定（yoshida-dental.co.jp）の再検索で「ビジネスデータ」ページの2025年7月期 売上高362.6億円／自己資本比率67.7%／当座比率189.1%が再現され、1次値は確定。歯科総合商社でヨシダグループ（12社）の中核＝親会社にあたるため、§3-3上は単体でもグループ連結でも300億円超で可。§3-8の直近3期以内も充足。300億円へ
1464,モロゾフ株式会社,2140001002665,362.73,G列,20.9,362.73億円（2026年1月期・連結）,"○ 妥当：2026年1月期（第96期・2026/3/13公表）通期連結売上高363億円が確認でき、36,273百万円＝362.73億円と整合。東証上場の親会社のため連結採用可（§3-3）。H列PDF名が""hanki""だが公表日・金額とも通期決算短信と一致。ただし採用値は450億円未満で基準に近い。"
3228,ＳＣＳＫサービスウェア株式会社,3010401051200,363.57,G列,21.2,363.57億円（2026年3月期・単体）,"○ 妥当：SCSK株式会社の連結子会社だが、対象法人“単体”の2026年3月期（第44期）売上高363.6億円（前期355億円、従業員4,701名）を確認。G列36,357百万円＝363.57億円と整合、桁検算済み（§3-3クリア）。自社HPに第44期決算公告PDFの掲載も確認。ただし本検証で数値を再現できたのは求人系の二次情報が中心で、公告PDF本文までは未読のため数値の一次確認は残る。300億"
222,東芝デバイス株式会社,4020001071266,364.53,G列,21.5,364.53億円（2026年3月期・単体）,○ 妥当（金額未再現・余裕が薄い）：出典ドメインwww3.toshiba.co.jp/tdecが東芝デバイス株式会社（東芝デバイス&ストレージの販売会社／本社 川崎市幸区堀川町580 ソリッドスクエアビル西館／資本金5億円／決算期3月）であることを確認、法人番号4020001071266（神奈川）と整合し、同名の東芝デバイスソリューション株式会社（川崎市幸区小向東芝町1・設立1981年・従業員68
