行,取引先ID,法人番号,取引先名,最終判定,G列の訂正指示,I列_検証結果
748,001Nn00000eVcap,8010001129227,株式会社ＦＰパートナー,架電可（G列訂正あり）,G列訂正：「最新有報」ではなく2025年11月期・単体（非連結決算）と明記すべき）：2025年11月期決算短信〔日本基準〕(非連結)で売上高321億400万円＝321.04億円（前期比▲9.9%）を確認し、G列,"○ 妥当（G列訂正：「最新有報」ではなく2025年11月期・単体（非連結決算）と明記すべき）：2025年11月期決算短信〔日本基準〕(非連結)で売上高321億400万円＝321.04億円（前期比▲9.9%）を確認し、G列数値32,104,060千円＝321.04億円と一致。上場会社・非連結決算のため単体で判定し300億超。ただし基準超過は約7%と薄く、業務改善命令に伴う集客停止で減収基調のため、2026年11月期で300億割れの可能性あり要監視。"
751,001Nn00000eVcb6,3120001089729,株式会社出前館,架電可（G列訂正あり）,"G列訂正：397.21億円（39,721百万円）は2025年8月期・連結","○ 妥当（G列訂正：397.21億円（39,721百万円）は2025年8月期・連結。決算短信は〔日本基準〕(連結)であり「単体」表記は誤り）：数値は決算短信で再現（前期比▲21.2%）。親子判定を再検証：LINEヤフーの出前館株式保有比率は37.43%（2024年7月変更報告書）で、LY社は出前館を連結子会社ではなく非連結の持分法適用関連会社として維持と開示。よって親会社側判定となり自社連結397.21億円を採用可、子会社単体要件は不適用。"
758,001Nn00000eVchu,2010001107072,郷商事株式会社,架電可（G列訂正あり）,G列訂正：自社HP（会社案内パンフレット・会社概要）で確認できるのは「2025年3月31日現在 売上高455億円・従業員155名」,○ 妥当（G列訂正：自社HP（会社案内パンフレット・会社概要）で確認できるのは「2025年3月31日現在 売上高455億円・従業員155名」。471億円/2026年3月期は承認ソースで再現できなかった）：いずれの値でも300億を大幅に超えるため架電可。なお当社は国内8拠点・海外含むグループ会社10社を持つ親会社側であり、子会社への連結値流用には当たらない。
759,001Nn00000eVciC,3010701012439,日本石油輸送株式会社,架電可（G列訂正あり）,G列訂正：2026年3月期の公表値は連結売上高385.37億円（前期比+3.9%、2026年5月13日決算短信）,"○ 妥当（G列訂正：2026年3月期の公表値は連結売上高385.37億円（前期比+3.9%、2026年5月13日決算短信）。G列の323.35億円＝32,335百万円はgBizINFO（EDINET）掲載値で、2026年3月期の連結値としては再現できず、単体値または別期の値の可能性）：親子判定は、筆頭株主ENEOSホールディングスの持株比率が29.14%（2025年3月末）で50%未満のため子会社ではなく、連結値の採用も可。単体323.35億円・連結385.37億円のいずれでも300億超だが、基準への余裕は小さく数値の期ずれに注意。"
769,001Nn00000eVcoW,1011001016231,株式会社アトレ,架電可（G列訂正あり）,G列訂正：477.82億円は裏付けが取れず、2025年3月期・単体787.45億円への差し替えを推奨）：JR東日本の子会社のため単体判定,"○ 妥当（G列訂正：477.82億円は裏付けが取れず、2025年3月期・単体787.45億円への差し替えを推奨）：JR東日本の子会社のため単体判定。自社電子公告ページで決算公告の掲載日（2026.6.26＝2025年度／2025.6.27＝2024年度／2024.6.27＝2023年度）を確認し、同社の年度表記が3月期を指すことは裏付けた。しかし1次採用値47,781,912千円をシード指定して検索しても一度も返らず、代わりに官報決算公告ベースの2025年3月期・単体787.45億円（前年比+10.3%、純利益25億300万円、2025/6/27公告）が整合的な数表として返る。1次値は原本未確認の可能性が高い。別途「2026年3月期144.28億円（前年比+10.52%）」とする結果も出たが、前年比から逆算すると前期約130億となり787.45億と両立せず、アトレスティル等の同系別法人の混入とみられるため採用しない。477.82億・787.45億いずれでも子会社単体で300億を超えるため判定○は不変。残る疑問：2026年3月期の確定単体値が原本PDFで未確認。なお同社公表の「SC売上高」（テナント取扱高約2,780億円）は会計上の売上高ではない。"
778,001Nn00000eVdBm,1180001016877,敷島製パン株式会社,架電可（G列訂正あり）,"G列訂正：より新しい2025年8月期の決算公告で売上高約1,783億円・営業利益74億円）","○ 妥当（G列訂正：より新しい2025年8月期の決算公告で売上高約1,783億円・営業利益74億円）。G列の1,740.08億円（174,008百万円＝1,740.08億円、桁検算済み・2024年8月期）は自社CSR報告書2024の記載で、最新確定期が2025年8月期のため直近3期以内に収まり規則違反ではないが、鮮度の観点から2025年8月期値への差し替えを推奨。非上場の株式会社・親会社で、いずれの期も基準を大きく超過。"
787,001Nn00000eVdC4,2300001003151,トヨタ紡織九州株式会社,架電可（G列訂正あり）,G列訂正：自社HP会社概要に2025年度売上高930億円の記載あり,○ 妥当（G列訂正：自社HP会社概要に2025年度売上高930億円の記載あり。G列の「894億円（2023年度）」は2024年3月期相当で直近3期の最古にあたるため、930億円（2025年度・単体）への更新を推奨）。トヨタ紡織100%出資の子会社だが単体で900億円前後あり基準クリア（連結値の流用ではない）。出典も社長年頭挨拶より自社HP会社概要のほうが強い。株式会社・基準の3倍超で判定に疑義なし。
819,001Nn00000eVdUW,5120901008067,株式会社ビケンテクノ,架電可（G列訂正あり）,"G列訂正：連結365.05億円（2026年3月期）を採用すべき）：G列の単体300.99億円（30,099,473千円）は基準300億をわずか0.99億円＝0.33%しか上回らず、単体だけを根拠にすると極めて危","○ 妥当（G列訂正：連結365.05億円（2026年3月期）を採用すべき）：G列の単体300.99億円（30,099,473千円）は基準300億をわずか0.99億円＝0.33%しか上回らず、単体だけを根拠にすると極めて危うい。同社は東証スタンダード上場（9791）の親会社であり§3-3により連結採用が可能で、2026年3月期の連結売上高は365億500万円（前期比+5.29%）。連結値なら余裕をもって基準を満たすため架電可否は○のまま。"
826,001Nn00000eVdUx,1011101058470,株式会社エンパワー,架電可（G列訂正あり）,G列訂正：決算期は「2025年度」ではなく2025年9月期,"○ 妥当（G列訂正：決算期は「2025年度」ではなく2025年9月期。売上高は977億5,831万円・単体）：独立系の株式会社で親子問題なし。977.58億円は前期810億0,765万円・前々期464億7,378万円と連続する決算公告系列として再現でき、基準の3倍超。ただし自社採用ページの記載自体はページ取得不可のため直接確認できず、同額が求人系の禁止ソースにも流通している点は留意。"
856,001Nn00000eVdfZ,8110001004394,ナミックス株式会社,架電可（G列訂正あり）,"G列訂正：1,282億円は自社ドメインnamics.co.jpを3クエリ探索しても一度も再現せず、1次値が誤りの疑いが濃厚）","○ 妥当（G列訂正：1,282億円は自社ドメインnamics.co.jpを3クエリ探索しても一度も再現せず、1次値が誤りの疑いが濃厚）。自社HP/CSRレポートで確認できたのは2017年度352億円・2019年度363億円・2021年度559億円。承認外ソースでは2025年3月期1,021.57億円（過去最高）との記載。非上場だが株式会社で親会社側のため単体/連結いずれも可。いずれの値でも300億の3倍超のため架電は可だが、G列の金額・年度はCSRレポート2025原本での実値確認を要する。"
857,001Nn00000eVdfa,2290001036343,西部電機株式会社,架電可（G列訂正あり）,G列訂正：単体/連結の別と数値に不整合）,"○ 妥当（G列訂正：単体/連結の別と数値に不整合）。西部電機は2025年3月期の連結売上高333.52億円（前期比4.4%増・過去最高）、2026年3月期の連結予想361億円（同8.2%増）。G列の「単体380.43億円」は連結予想を上回っており、単体≦連結の関係と矛盾する。38,043百万円は2026年3月期の連結実績値で「単体」表記が誤りの可能性が高い。最も保守的な333.52億円でも300億超のため○は維持するが、本ブロックで300億に対する余裕が最も薄い（+11%）行。"
865,001Nn00000eVdhT,5010401134779,クオール株式会社,架電可（G列訂正あり）,"G列訂正：2,907億円はクオールHDの2026年3月期グループ連結売上高であり、HDの事業子会社であるクオール(株)に連結値を当てた§3-3／§6-4違反","○ 妥当（G列訂正：2,907億円はクオールHDの2026年3月期グループ連結売上高であり、HDの事業子会社であるクオール(株)に連結値を当てた§3-3／§6-4違反。子会社に連結値は使用不可）。正しくはHD有報「主要な損益情報等」のクオール(株)単体1,140.43億円。ただし本反証では単体値そのものの再現に至らず、金額と決算期は有報現物での確認を要する。連結2,907億円のうち調剤薬局本体が1,140億円規模という配分は事業構成上妥当で、300億の3.8倍のため架電可否は○のまま動かない。"
894,001Nn00000eVdyh,6010401033848,大和地所レジデンス株式会社,架電可（G列訂正あり）,G列訂正：第35期356.36億円は3クエリ探索しても承認ソース・一般検索のいずれでも再現せず、期・金額とも要再確認）,"○ 妥当（G列訂正：第35期356.36億円は3クエリ探索しても承認ソース・一般検索のいずれでも再現せず、期・金額とも要再確認）。自社電子公告／官報決算公告で裏付けが取れる直近は第34期(2024/4/1〜2025/3/31)売上高538億9,071万2千円、第33期528.95億円。第35期公告が未収録の可能性も残るが、1次値が誤りである疑いは消えない。株式会社・出典は自社HP電子公告で承認ソース。第34期538.90億円・第35期356.36億円のいずれでも300億超のため架電可。分譲マンション業で期による振れが大きい点に留意。"
921,001Nn00000eVeV4,2011101021444,ヤマザキビスケット株式会社,架電可（G列訂正あり）,G列訂正：366.32億円（2025年12月期・単体）が正,○ 妥当（G列訂正：366.32億円（2025年12月期・単体）が正。営業利益33.39億円。親会社・山崎製パンの公式サイトに掲載された2026/2/6付「決算公告」で確認）。G列の「345.87億円（2024年・単体）」は1期古く数値も相違するため要更新。山崎製パンの子会社のため単体判定だが、366.32億円で300億超は維持され判定は○のまま。ただし300億まで約66億円しか余裕がなく、期によって割り込むリスクがあるため要監視。
938,001Nn00000eVeXB,4010001008748,太平電業株式会社,架電可（G列訂正あり）,"G列訂正：1,416.57億円（2026年3月期・連結））：架電可否は○のままだがG列の数値が誤り","○ 妥当（G列訂正：1,416.57億円（2026年3月期・連結））：架電可否は○のままだがG列の数値が誤り。太平電業(株)の2026年3月期決算短信(2026年5月14日)および決算説明資料(同5月21日)の売上高は連結141,657百万円=1,416.57億円(前期比12.7%増)。G列の192,675百万円=1,926.75億円は売上高ではなく受注高系の数字との取り違えと見られる(同期の受注高は196,992百万円)。単体1,926.75億円が連結1,416.57億円を上回るという矛盾も裏付け。同社は東証プライム上場の親会社のため§3-3により連結採用でよく、基準300億の約4.7倍で判定自体は反転しない。"
963,001Nn00000eVevX,7010001034997,東京製綱株式会社,架電可（G列訂正あり）,G列訂正,"○ 妥当（G列訂正の疑い）：反証を試みたが判定は覆らず。東証プライム上場（5981）の親会社であり§3-3で連結採用可。連結は2026年3月期中間303.6億円・通期予想640億円（2025/11/12開示の第2四半期決算短信／決算説明会資料）で300億を大きく超過するため○は堅い。一方G列の単体379.71億円（37,971百万円）は金額をシードした検索でも承認ソースから一度も再現できず、1次J列のgBizINFO URLの法人番号2010001017016はリストB列7010001034997と不一致（別法人の頁を引いた疑い）。単体値と決算期（2025年3月期の可能性）は要再取得。判定根拠は連結値に置き換えるのが安全。"
984,001Nn00000eVf47,9400001003829,株式会社薬王堂,架電不可（元△判定が妥当と確認）,"G列訂正：1,638.8億円は薬王堂ホールディングス（7679）の2026年2月期『連結』売上高であり、株式会社薬王堂の単体値ではない","○ 妥当（G列訂正：1,638.8億円は薬王堂ホールディングス（7679）の2026年2月期『連結』売上高であり、株式会社薬王堂の単体値ではない。G列が単体表記なら連結に訂正）：HD決算短信で2026年2月期 連結売上高1,638.8億円（前期比+7.8%）・営業利益52.85億円・親会社株主帰属純利益40.28億円を再確認。薬王堂HDは株式移転による純粋持株会社で約400店のドラッグストア運営は当社が担うため単体でも300億を桁違いに超過し架電可否は○で維持。ただし1次が下限の根拠とした親会社有報『関係会社の状況』の90%超による主要な損益情報等省略の注記は、検索枠切れのため本層では再確認できていない。単体実額は未取得。"
1018,001Nn00000eVfFO,4290801003094,株式会社ハローデイ,架電可（G列訂正あり）,G列訂正：株式会社ハローデイは純粋持株会社・株式会社ハローデイホールディングス（別法人番号4290801007145）傘下の子会社であり、H列の「グループ親会社として連結売上高を採用」は誤り,○ 妥当（G列訂正：株式会社ハローデイは純粋持株会社・株式会社ハローデイホールディングス（別法人番号4290801007145）傘下の子会社であり、H列の「グループ親会社として連結売上高を採用」は誤り。§3-3により単体で判定する必要がある。もっとも自社HP会社概要および自社採用サイトが同社の売上高824億88百万円（2025年3月期。ハローデイ49店＋ボンラパス6店＝55店を運営）と記載しており単体で300億超と解されるため架電可否は○を維持。G列H列を「単体・ハローデイHDの子会社」表記に修正要。
1068,001Nn00000eVfr4,7120001039721,福栄鋼材株式会社,架電可（G列訂正あり）,G列訂正：最新は2025年10月期・売上高645億円,○ 妥当（G列訂正：最新は2025年10月期・売上高645億円。G列の674.48億円〈2024年10月期〉は1期古い）。架電可否は○のまま（645億円でも基準300億の2.1倍）。あわせて出典URLも要訂正：H列の https://www.fukuei.com/wp-content/uploads/2025/11/設備仕様.pdf は「設備仕様」名のPDFで会社案内かどうか確認できない。正しい参照先は企業情報 https://www.fukuei.com/about/ （現行ドメインはfukuei.com、旧fukuei-steel.co.jpも併存＝D列は旧ドメイン）。注意：645億円という数値はマイナビ・就活会議・Baseconnect・ブンナビ・NIKKEI COMPASS等の禁止ソースにしか現れず、承認ソースでは再現できていない（§6-6）。年間加工量約60万トン・従業員327名（グループ393名、2025年11月時点）は整合。
1082,001Nn00000eVfzt,3040001015833,マックスバリュ関東株式会社,架電可（G列訂正あり）,G列訂正：★社名変更 §6-7★）,○ 妥当（G列訂正：★社名変更 §6-7★）。マックスバリュ関東株式会社は2026年3月1日付でダイエー関東事業を吸収分割承継＋イオンマーケット株式会社を吸収合併し、商号を「株式会社イオンフードスタイル」に変更した（法人番号3040001015833は存続会社として継続。U.S.M.H適時開示2026/3/2「経営統合完了に関するお知らせ」、イオン2026/3/1リリース）。したがってアポインターが「マックスバリュ関東」と名乗ると現存しない商号になるため、架電時は「株式会社イオンフードスタイル（旧マックスバリュ関東）」とすること。売上面：統合前単体の営業収益447億円（2025年2月期、親会社U.S.M.H統合報告書）、2026年2月期も447.65億円（0.9％減）で、U.S.M.H子会社の単体値として基準300億を満たす（§3-3、グループ連結を援用していないため§6-4の誤りなし）。統合後は3社合算でさらに増加見込み。指標は小売業のため「営業収益」でG列に明記済（§3-7適合）。留意点：採用値447億円は基準300億の1.49倍で余裕は薄い。
1085,001Nn00000eVfzx,4130001012168,京都トヨタ自動車株式会社,架電可（G列訂正あり）,G列訂正：最新値は売上高362億円・2024年度〈2025年3月期〉,○ 妥当（G列訂正：最新値は売上高362億円・2024年度〈2025年3月期〉。G列の『353億円（2023年度）』は1期古い）。自社HP会社案内 https://kyoto-toyota.jp/corporate の実在を確認。従業員520名（2025年4月1日現在）。単体362億円は基準300億を満たし、トヨタ販売店としての親子関係がどちらであっても単体で基準を超えるため親子判定は結論に影響しない（§3-3）。★留意点（薄い）★ 余裕は基準の1.21倍しかなく、362億／353億いずれの数値も kyoto-toyota.jp にドメイン限定した検索では本文を再現できず、実際に再現できたのはマイナビ等の禁止ソース経由のみ（§6-6）。gBizINFO（法人番号4130001012168）・官報決算公告系にも売上高の掲載を確認できなかった。架電前に会社案内ページの実額を目視確認することを推奨。
1088,001Nn00000eVg03,4180301019263,豊生ブレーキ工業株式会社,架電可（G列訂正あり）,G列訂正：出典URLが誤り）,"○ 妥当（G列訂正：出典URLが誤り）。H列が引く https://www.hosei.co.jp/english/ は英語版トップページで売上高の根拠にならない。正しい参照先は自社HP会社概要 https://www.hosei.co.jp/company/outline.html および https://www.hosei.co.jp/profile/outline/ （いずれも実在を確認）。数値面：2025年3月期の売上高1,012億円が確認でき、G列の883億円（2026年3月期）はこれより1期新しい値という位置づけになる。いずれの期でも単体で基準300億の3倍前後あり架電可否は○のまま。豊生ブレーキ工業株式会社は愛知県豊田市・1968年設立・従業員1,932名でアイシン系の子会社だが、子会社単体883〜1,012億円で§3-3の子会社要件を満たす（グループ連結を援用していない＝§6-4の誤りなし）。留意点：883億円（2026年3月期）という数値自体は承認ソースで再現できていない。"
1099,001Nn00000eVg7E,1013401002091,富士通フロンテック株式会社,架電可（G列訂正あり）,G列訂正：①852億円は環境報告書トレンドグラフ上の「国内売上高」であり単体/連結の別が不明,"○ 妥当（G列訂正：①852億円は環境報告書トレンドグラフ上の「国内売上高」であり単体/連結の別が不明。②これは会社分割前の数値である）。反証調査で重要事実を検出：2025/12/23付で富士通が簡易吸収分割契約を締結し、富士通フロンテックの流通製品・流通関連サービス事業／静脈認証関連事業／RFID関連事業（承継対象売上高19,271百万円＝192.71億円、2025年3月31日現在）を2026年4月1日付で富士通本体が承継した。吸収分割のため法人格は存続し社名変更もなく§6-7の消滅ケースには該当しないが、2026年3月期以降の売上高は大幅減となる。分割後の残存規模は概算660億円（852−192.71）で基準300億の2.2倍あり判定は反転しない。富士通の100%子会社（発行済株式8株）である点は再確認済みで、§3-3の子会社基準は単体でも充足する見込み。G列には分割前の数値である旨を注記すべき。"
1102,001Nn00000eVg7c,9430001007785,株式会社正栄プロジェクト,架電可（G列訂正あり）,G列訂正：単体／グループの別が未確定、かつ決算期表記に矛盾あり）,○ 妥当（G列訂正：単体／グループの別が未確定、かつ決算期表記に矛盾あり）。1次が再現できなかった675億円を自社HP会社概要で再現確認（令和6年12月期実績）＝承認ソース§3-4①での裏取りには成功。ただし反証点が3つ残る：①同ページの従業員数792名が「アルバイト・グループ会社含」と明記されており、売上高もグループ値の疑いが濃い。②グループには株式会社正栄プロジェクトHD（法人番号6430001029626）・株式会社EAGLE・株式会社エムトラスト等が併存し、21店舗（北海道/大阪16＋秋田のNEW YORK×2が5）は複数の運営会社に跨る。HDが登記上の親会社であれば§3-3により単体値が必須となる。③売上高は貸玉総額・税込ベース（令和元年12月期954億円＝税込の系列）で、純額表示に変更されれば桁が変わる（§6-3）。④HP上の期間表記が「令和6年12月期実績」と「令和5年1月〜12月」で食い違う。単体が300億未満だという積極的証拠は得られなかったため○を維持するが、本ブロックで最も疑いが残る行。
1103,001Nn00000eVg7f,2011101056358,株式会社ＮＴＴデータ・アイ,架電可（G列訂正あり）,G列訂正：決算期が未確定）,○ 妥当（G列訂正：決算期が未確定）。自社HPの決算公告ページで公開されている最新が第36期＝2025年3月期であることを確認したため、G列の「2025年度」が2025年3月期か2026年3月期かは出典上確定できない。964億円の本文はWebSearchで再現できなかったが、採用値は基準300億の3.2倍で、いずれの期を採っても判定は反転しない。NTTデータの子会社だが単体964億円で§3-3の子会社基準（単体300億以上）を満たす。決算公告は会社法440条に基づく単体BS/PLの開示であり、採用値が単体であることとは整合する。【社名・§6-7】公式表記は中黒なしの「株式会社NTTデータアイ」。C列の「株式会社ＮＴＴデータ・アイ」は旧表記のため架電時は要注意。
1104,001Nn00000eVg7j,6011001029641,鉄道情報システム株式会社,架電可（G列訂正あり）,G列訂正：383.38億円（2026年3月期・単体）と桁まで確定）,"○ 妥当（G列訂正：383.38億円（2026年3月期・単体）と桁まで確定）。1次の弱点＝383億と一致するのがマイナビ（禁止ソース§3-4）とcatr.jp（§7-1で承認可否が未確定）のみ、を解消した。gBizINFO（承認ソース§3-4③・§5-3⑦の公的機関）に前期2025年3月期の売上高354億円が掲載されており、これ単独で300億を超える。さらに2026年3月期383億3,800万円は前期比+8.22%で、354×1.0822≒383.1と検算が完全に一致するため数値の整合性も裏付けられた。どちらの期を採用しても判定は動かない。法人番号6011001029641はgBizINFO上で一致確認済み（同名別法人ではない）。JR各社の分散出資で支配株主を持たず、単体値採用が正しい点も再確認。○を支えるのはgBizINFOの354億円であり、383.38億円の直接の出典は承認ソースでない点だけ留意。1次が付した「架電前に目視確認を推奨」の留保は解除してよい。"
1109,001Nn00000eVgAB,3011001010678,シマダヤ株式会社,架電可（G列訂正あり）,G列訂正,○ 妥当（1次のG列訂正を追認：正しくは410.61億円（2026年3月期・連結）。「単体」表記は誤り）。反証調査では親子判定を疑って再確認したが、シマダヤホールディングス等の持株会社は介在せず、上場会社名そのものが「シマダヤ株式会社」（東証スタンダード・コード250A）であり、法人番号3011001010678が当該上場会社と一致することを確認（同名別法人ではない）。したがって親会社に該当し、§3-3により連結値の採用が正当。検算：家庭用254.38億＋業務用156.22億＝410.60億でセグメント合計が売上高410.61億と一致（桁誤読なし）。2026年5月12日開示のTDnet決算短信〔日本基準〕(連結)が出典で鮮度も可。採用値は基準の1.37倍と余裕が薄いが数値自体は確定。単体売上高は依然未確認だが親会社のため規則上は不要。
1110,001Nn00000eVgBP,7010001034865,東洋埠頭株式会社,架電可（G列訂正あり）,G列訂正：380.79億円と小数まで確定）,"○ 妥当（G列訂正：380.79億円と小数まで確定）。2026年3月期の連結営業収益38,079百万円＝380.79億円（前期比+8.49%）、親会社株主に帰属する当期純利益14.66億円（+30.43%）を確認し、G列の380億円と整合（3,807,900万円→380.79億円で桁検算済み）。親子判定を反証側から当たったが、東洋埠頭を連結子会社とする親会社は検出されず、2023年10月に東証プライムからスタンダードへ市場変更した独立上場会社（9351）である。よって§3-3により連結値採用が正当で、子会社への連結値当てはめではない。セグメントは国内総合物流86%・国際物流14%。港湾運送・倉庫業のため「営業収益」表記である旨はH列に明記済み。残る疑問：単体営業収益は未確認で300億を下回る可能性があるが、親会社であるため規則上は連結値で可。採用値は基準の1.27倍と本ブロック最薄のため、次期に減収があれば再判定が必要。"
1121,001Nn00000eVgNL,1370801000359,株式会社キタセキ,架電可（G列訂正あり）,"G列訂正：2,240億円（2026年6月期）・自社HP会社概要）","○ 妥当（G列訂正：2,240億円（2026年6月期）・自社HP会社概要）。現行の kitaseki.co.jp/company/summary/ は「売上高2,240億円（2026年6月期）／従業員326名（2025年4月現在）」を表示しており、G列の「2,362億円・決算期記載なし」は旧表示と思われる。§3-8の決算期明記を満たすよう訂正推奨。コスモ石油特約店の自社単体値でいずれも300億を大幅超過、架電可否は○のまま。法人番号1370801000359で照合済。"
1132,001Nn00000eVgju,7230001000928,コーセル株式会社,架電不可（元×判定が妥当と確認）,G列訂正：連結250.46億円〈2026年5月期〉が判定値）：コーセルは東証上場の親会社のため§3-3により連結で判定してよい,○ 妥当（G列訂正：連結250.46億円〈2026年5月期〉が判定値）：コーセルは東証上場の親会社のため§3-3により連結で判定してよい。2026年5月期決算短信で連結売上高250億46百万円（前期比7.4%減）を確認。G列の単体175.98億円と併せいずれも300億未満で×の結論は変わらないが、G列は連結値を採用し「（2026年5月期・連結）」と記載すべき。
1147,001Nn00000eVgqB,9180001088975,ニデックモビリティ株式会社,架電可（G列訂正あり）,"G列訂正：1,368億円（2023年度）→314.61億円（2025年3月期・単体））：ニデック100%子会社のため§3-3で単体値が必須","○ 妥当（G列訂正：1,368億円（2023年度）→314.61億円（2025年3月期・単体））：ニデック100%子会社のため§3-3で単体値が必須。自社HP企業概要の「売上高1,368億円（2023年度）」はニデックモビリティ“グループ”の値であり単体ではない。官報決算公告（法人番号9180001088975一致・愛知県小牧市・代表和田克弘）の第15期＝決算末日2025年3月31日の単体売上高は314億6,100万円（前年比5.38%減／営業利益30.92億円・経常利益44億円・純利益33.73億円）。単体でも300億を超えるため架電可否は○のままだが、余裕は基準比+4.9%しかなく、1次の「基準の4.5倍で反転余地なし」は誤り。さらに第13期（2023年3月期）の単体売上高は296億8,900万円＝300億未満であり、G列の「2023年度・単体」表記のままでは基準を満たさない期を指すことになる。次期の300億割れを要監視。"
1153,001Nn00000eVgrW,5010501021530,住友重機械建機クレーン株式会社,架電可（G列訂正あり）,G列訂正：正しくは442.89億円〈2025年12月期＝第23期・単体〉,"○ 妥当（G列訂正：正しくは442.89億円〈2025年12月期＝第23期・単体〉。1次の『410億円』は承認ソースで再現不可）：住友重機械工業の100%子会社のため§3-3は単体基準で判定。■反証検索：金額をシード指定した検索で410億円は一度も返らず、代わりに官報決算公告（第23期・2025年12月期）の売上高442億8,900万円が返った。自社ドメイン限定検索でも会社概要ページに売上高は現れず、自社IR『決算情報』は平成18〜29年分のみで『平成30年以降は住友重機械工業の決算情報に連結して報告』と明記＝単体開示を停止済み。1次が根拠とした自社HP会社概要に410億の記載があるかは確認できなかった。■判定維持：410億・442.89億いずれも基準300億の1.4倍超で、どちらを採っても判定は不動。■残る疑問：直近値の唯一の出所が官報決算公告の二次サイト(catr.jp)であり§7-1の未確認事項に該当。承認ソース性が確定するまで証跡は弱い。■§6-7：2027/1/1付で住友重機械工業へ吸収合併され法人格消滅予定（2026/9時点は存続）。"
1184,001Nn00000eVh7d,6180001015239,株式会社日特スパークテックＷＫＳ,架電可（G列訂正あり）,"G列訂正：△要再確認（○を維持できず）：子会社のため§3-3により単体300億以上の立証が必須だが、採用値1,028億円は独立4クエリ（社名+会社概要/金額シード/自社ドメイン限定/決算期指定）で承認ソースから","○ 妥当（G列訂正：△要再確認（○を維持できず）：子会社のため§3-3により単体300億以上の立証が必須だが、採用値1,028億円は独立4クエリ（社名+会社概要/金額シード/自社ドメイン限定/決算期指定）で承認ソースから一度も再現できなかった。自社HP会社案内(pages/3)は検索に索引されているが売上高の記載は抽出されず、金額が出るのは転職会議・Yahoo!しごとカタログ・doda・OpenWork・Baseconnect・NIKKEI COMPASS等の禁止ソースのみ（§3-4/§6-6の加藤化学と同型）。E列レンジ(300億以上〜1,000億未満)とも矛盾。日本特殊陶業100%出資の captive 製造子会社で売上の大半が内部売上のため親Niterra有報の関係会社の状況でも主要な損益情報の開示義務が生じず、親IRからの裏取りも不可。法人番号6180001015239・愛知県小牧市で同名法人の取り違えはない。金額の真偽（300億割れの可能性）は否定も肯定もできないため、会社案内ページを直接開いて単体売上高を確認するまで架電可とすべきでない。"
1199,001Nn00000eVhsZ,8010801013514,株式会社ニシヤマ,架電可（G列訂正あり）,G列訂正：418億円〈2023年度・単体〉は鮮度切れの古い値,"○ 妥当（G列訂正：418億円〈2023年度・単体〉は鮮度切れの古い値。正しくは2026年3月期売上高511億7,700万円＝511.77億円、前期比9％増で500億円を突破。今期予想544億円、2028年度目標560億円）。架電可否は○のまま。出典はゴム報知新聞NEXT（決算期と売上高が明記された業界紙記事＝§3-4の承認ソース4）および自社HP企業情報。"
1208,001Nn00000eVhtQ,6140001011869,六甲バター株式会社,架電可（G列訂正あり）,G列訂正：「単体」は誤り,"○ 妥当（G列訂正：「単体」は誤り。2025年12月期決算短信の売上高432億9,300万円＝432.93億円は連結値。六甲バターは2025年11月に株式会社ミツヤグループ本社の株式51%を追加取得してミツヤグループを完全子会社化し、2025年第4四半期より連結決算へ移行した初年度のため前期比なし）。※1次所感の「三ツ矢グループの子会社化」は取得方向が誤読されうる表記だが、六甲バターは取得側＝親会社であり子会社ではない。東証上場(2266)の親会社として§3-3により連結値で判定可、432.93億円は基準300億を超過。決算期12月期はG列記載どおり正しい。2026年12月期は連結売上高550億円を予想。"
1213,001Nn00000eVhts,6010001056010,フォーデイズ株式会社,架電可（G列訂正あり）,"G列訂正：303.61億円（2026年3月期・単体））：日本流通産業新聞オンラインで2026年3月期売上高303億6,100万円（前期比1.7％減）、経常利益26億8,900万円を確認","○ 妥当（G列訂正：303.61億円（2026年3月期・単体））：日本流通産業新聞オンラインで2026年3月期売上高303億6,100万円（前期比1.7％減）、経常利益26億8,900万円を確認。新聞社記事で決算期・売上高明記のため承認ソース（§3-4-4）。G列「303億円」は概数で誤りではないが正確には303.61億円。非上場・単体、親子問題なし、株式会社。ただし300億基準に対しマージンわずか3.6億円（1.2％）かつ減収基調で、次期は基準割れの可能性がある要監視行。"
1222,001Nn00000eVhvS,2010001080336,東京シティ青果株式会社,架電可（G列訂正あり）,G列訂正,"○ 妥当（G列訂正の可能性：承認ソースで確認できたのは売上高1,006億円（2024年度・税込）で、G列の962億円（2025年度）は再現できなかった）：豊洲市場5街区青果棟の卸売業者、法人番号2010001080336（gBizINFO）一致、東京青果株式会社（別法人）との取り違えなし（§6-2）。設立2002年10月、従業員232名、資本金4億円。いずれの値でも300億基準を3倍以上上回り架電可否は不変。卸売市場業者のため売上高は税込の卸売販売高である点に留意。株式会社。"
