行,取引先ID,法人番号,取引先名,元H判定,最終判定,架電可,I列_検証結果,J列_ソース
911,001Nn00000eVeMx,2140001007136,共栄株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加経路＝gBizINFO・日本鉄リサイクル工業会 会員情報(共栄(株)神戸工場)・ひょうご/しごと情報広場・自社HP。いずれも売上高の記載なし。さらにgBizINFOでは神戸市中央区栄町通の共栄株式会社が法人番号1140001007137で表示され、B列2140001007136と不一致（§6-2の近似番号・同名取り違えリスク）。求人媒体の650億円は禁止ソースのため不採用,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1140001007137;https://www.jisri.or.jp/kaiin/mid281055;https://www.j-hiroba.jp/comlist01/detail_14420.html;http://www.kyoyei.com/
912,001Nn00000eVeNC,2370001022987,株式会社ワールド,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。追加経路＝gBizINFO（仙台の株式会社ワールドは法人番号4140001024328で表示され、B列2370001022987と照合できず）・上場(株)ワールド[3612]のIR資料。3612は神戸のアパレル大手(売上収益1,989億円)で完全な別法人のため不採用。B列法人番号に紐づく売上高はSalesNow DB(禁止ソース)にしか存在しない",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4140001024328;https://corp.world.co.jp/company/about/pdf/world_profile_2025.pdf
913,001Nn00000eVeNJ,8120101028152,堺ディスプレイプロダクト株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加経路＝gBizINFO・官報決算DB(第11/12/14期)・シャープ連結情報。むしろ直近期の売上高は12.56億円(前年比▲97.9%)との記載があり、2024年9月の堺工場パネル生産停止と整合する。回収の余地はなく、仮に確定すれば300億未満で×側。承認ソースでの直接確認はできないため△を維持,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8120101028152;https://catr.jp/companies/95b3f/1467/settlements/31198/295343;https://corporate.jp.sharp/info/consolidated/
914,001Nn00000eVeNS,2180001035109,カゴメ株式会社,○,架電可,○,"○ 妥当：IFRS「売上収益」294,264百万円＝2,942.64億円（2025年12月期・連結）。§3-7に従い売上高と同義として採用し、原文表記も注記済みで記載要件を満たす。東証プライム上場の親会社のため連結採用可。1,000億超のためトリアージにより追加検索は行っていない。",https://www.kagome.co.jp/company/ir/financial/highlights_ifrs/
915,001Nn00000eVeOa,5120001063046,株式会社近畿しんきんカード,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。公式開示は取扱高2,104億円(2026年3月期)のみで売上高(営業収益)ではなく、カード会社の営業収益は取扱高の数%規模のため300億到達の見込みが乏しい。回収見込みなしと判断し本再検証では追加検索を配分していない（＝本行は未検証）。1次の当たった経路＝自社HP会社概要・gBizINFO・決算公告",https://www.kinki-shinkincard.co.jp/company/
916,001Nn00000eVeRr,7420001006732,株式会社吉田産業,△,架電不可（△要再確認）,×,△ 妥当（回収不能を確認）：yoshidasangyo.co.jp ドメイン内検索で電子公告／決算公告／業績ページが存在しないことを確認し、§5-3-5の経路が閉じた。第78期＝2025年3月期の売上高789.56億円・当期純利益8.91億円は複数ソースで一致するが、出所はマイナビ・OpenWork・Baseconnect・個人ブログ「決算公告データ倉庫」・catr.jpのみで、全て禁止ソースか§7-1未決着。承認ソースがゼロのため△を維持（1次H列の759.70億円は誤りで、正しくは789.56億円）。,https://www.yoshidasangyo.co.jp/company/profile/index.html;https://www.yoshidasangyo.co.jp/company/;https://catr.jp/settlements/07d8c/211751;https://ryo-nakamura1.hatenablog.jp/entry/2025/12/26/180000_3
917,001Nn00000eVeRs,5120001001831,株式会社コノミヤ,△,架電不可（△要再確認）,×,"△ 妥当（回収不能を確認・親子判定は訂正）：決算期は8月20日締めと判明（catr掲載の第52期＝2023年8月期）。1,188億円は2025年8月期の値だがマイナビ・Wikipedia（禁止ソース）にしかない。CGCグループは加盟団体であって資本上の親会社ではなく、コノミヤは被支配子会社ではない＝§3-3では親会社側の判定が正しい（1次H列の「子会社単体判定」は誤り）。自社HPに電子公告／決算公告ページはなく、承認ソースで金額を確認できないため△を維持。",https://www.konomiya.jp/company_profile/;https://catr.jp/companies/e71a5/7351/settlements/65e74/349680;https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%8E%E3%83%9F%E3%83%A4
918,001Nn00000eVeRw,8010401059346,日本カーソリューションズ株式会社,○,架電可,○,"○ 妥当：東京センチュリーの子会社だが、親会社の2026年3月期有価証券報告書「主要な損益情報等」に記載された当社単体の売上高213,034百万円＝2,130.34億円を採用しており、§3-3（子会社は単体で判定）・§6-4（連結値の流用禁止）ともに適合。§5-3-6の親会社IR資料ルートの正しい使い方。1,000億超で余裕あり。",https://www.tokyocentury.co.jp/jp/ir/
919,001Nn00000eVeUv,6010401018527,森永乳業販売株式会社,○,架電可,○,○ 妥当：親会社森永乳業（2264）のIR「事業内容」で、森永乳業販売(株)が親会社から商品を仕入れ全国の得意先に販売する販売子会社であることを確認。子会社のため単体判定が必要だが、G列617億円（2025年3月期・単体）は300億を大幅に超え条件充足。ただし当方のWeb検索3回では自社HP会社概要の617億円という数値そのものを再現できなかった（検索側は親会社の数値しか返さない）。禁止ソースに矛盾する値も検出されていないため判定は維持するが、引用元 morinagamilk-sales.com/company/ の直接目視確認を推奨。,https://www.morinagamilk-sales.com/company/;https://www.morinagamilk.co.jp/ir/individual/business.html
920,001Nn00000eVeUy,2140001043957,株式会社籠谷,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加経路＝農林水産省近畿農政局の輸出事例PDF(公的機関。同社紹介はあるが売上高記載なし)・官報決算DB・自社HP・公式採用ページ。承認外ソースでは2025年6月期売上高約134.6億円(決算月6月)とされ、これが正しければ300億円を大きく下回る。回収の余地なし,https://www.maff.go.jp/kinki/tiiki/hyogo/jirei/yusyutujirei/PDF/1.pdf;https://www.kagonet.co.jp/;https://www.kagonet.co.jp/recruit/welfare/
921,001Nn00000eVeV4,2011101021444,ヤマザキビスケット株式会社,○,架電可（G列訂正あり）,○,○ 妥当（G列訂正：366.32億円（2025年12月期・単体）が正。営業利益33.39億円。親会社・山崎製パンの公式サイトに掲載された2026/2/6付「決算公告」で確認）。G列の「345.87億円（2024年・単体）」は1期古く数値も相違するため要更新。山崎製パンの子会社のため単体判定だが、366.32億円で300億超は維持され判定は○のまま。ただし300億まで約66億円しか余裕がなく、期によって割り込むリスクがあるため要監視。,https://www.yamazaki-biscuits.co.jp/recruit/number/;https://www.yamazakipan.co.jp/ir/ir-library/tanshin/
922,001Nn00000eVeV5,3120101053709,不二製油株式会社,○,架電可,○,"○ 妥当：【合併・商号変更／法人番号要更新】B列の法人番号3120101053709（不二製油株式会社＝旧事業会社）は2025/4/1に不二製油グループ本社株式会社へ吸収合併され閉鎖済（gBizINFOで閉鎖確認）。同日、存続会社である不二製油グループ本社が「不二製油株式会社」へ商号変更し純粋持株会社体制を解消（2024/5/23公表）。現法人番号は8120001088461、東証プライム2607。社名「不二製油株式会社」は現存するため架電時の名乗りは可だが、B列法人番号は閉鎖法人であり要更新。現在の不二製油株式会社は事業持株会社＝親会社のため§3-3により連結採用可で、連結7,722.88億円（2026年3月期）は300億を大幅超過。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3120101053709;https://www.fujioil.co.jp/pdf/news/2024/240523.pdf;https://www.fujioil.co.jp/about/outline/
923,001Nn00000eVeWK,8013301010007,株式会社ハウスメイトパートナーズ,△,架電不可（△要再確認）,×,"△ 妥当（回収不能を確認）：自社HPグループ会社概要は同社を中心とする5社（パートナーズ／マネジメント／ショップ／ワークス／MISハウスメイト）構成で、持株会社も出資比率も記載なし。よって同社を親会社と断定できず、自社HPの4社合計1,916.5億円を§3-3のグループ連結として援用できない。第45期1,341.86億円・2023年度1,403.84億円はcatr.jp／Yahoo!しごとカタログ／転職会議のみで、決算期も特定できない（§3-8）。△を維持。",https://www.housemate.co.jp/company/about.html;https://www.housemate.co.jp/company/jisseki.html;https://catr.jp/companies/48938/146441/settlements/2dd06/239655
924,001Nn00000eVeWO,5120001094974,エレコム株式会社,○,架電可,○,"○ 妥当：JPX(TDnet)開示の2026年3月期決算短信で連結売上高132,132百万円＝1,321.32億円、桁の検算一致。東証プライム上場の親会社のため§3-3により連結採用可。E列のSFレンジ（300〜1,000億）とは乖離するがG列の1,000億超が正しく、判定に影響なし。出典が決算短信で強いためトリアージにより追加検索なし。",https://www2.jpx.co.jp/disc/67500/140120260331594026.pdf
925,001Nn00000eVeWP,5010001008763,株式会社ニコン,○,架電可,○,"○ 妥当：IFRS「売上収益」677,163百万円＝6,771.63億円（2026年3月期・連結）で桁の検算一致。§3-7に従い売上高と同義として採用し原文表記も注記済み。東証プライム上場の親会社のため連結採用可。1,000億超のためトリアージにより追加検索は行っていない。",https://www.jp.nikon.com/company/corporate/data/
926,001Nn00000eVeWd,7011401001273,オリエンタル酵母工業株式会社,○,架電可,○,"○ 妥当：自社公式「数字で見るオリエンタル酵母」の売上高765億4,100万円（2025年度）を検索で再現確認。株式会社、法人番号7011401001273一致。日清製粉グループ本社の子会社のため単体判定が必要で、同ページの数値が国内外グループ会社を含む可能性は完全には排除できないが、仮にグループ計だとしても単体が300億を割る規模ではないため判定は不変。",https://www.oyc.co.jp/company/number.html;https://www.oyc.co.jp/company/outline.html
927,001Nn00000eVeWg,4011401004551,株式会社東武ストア,○,架電可,○,"○ 妥当：東武鉄道の連結子会社だが、親会社の2026年3月期有価証券報告書「主要な損益情報等」に記載された当社単体の営業収益75,025百万円＝750.25億円（2026年2月期）を採用しており、§3-3・§6-4ともに適合（連結値の流用ではない）。小売業のため営業収益が売上高相当で§3-7上も可。300億を大幅超過。",https://www.tobu.co.jp/pdf/ir/fr/report20260622.pdf
928,001Nn00000eVeWn,5180001030627,新東工業株式会社,○,架電可,○,"○ 妥当：新東工業(株)は東証プライム上場の親会社。§3-3により連結採用が正当。1,761.78億円=176,178百万円で桁検算一致。出典は自社ドメイン内の採用サイト会社概要で§5-3-9の承認ソース。基準300億の約5.9倍で判定は動かないため追加検索は行わず桁と親子判定のみ検証。",https://recruit.sinto.co.jp/about/; https://www.sinto.co.jp/company/guide/
929,001Nn00000eVeWp,2020001083420,加賀ＦＥＩ株式会社,○,架電可,○,"○ 妥当：加賀電子(株)の子会社だが単体1,388.81億円(=138,881百万円、桁検算一致)で子会社基準300億を単体で充足(§3-3)。出典は親会社加賀電子の統合報告書「主要な損益情報等」で§5-3-6の承認ソース。社名変更履歴を検索で確認：2020年に富士通エレクトロニクス→加賀FEIへ商号変更済みで、以降2026年時点まで合併・再商号の事実なし。加賀電子グループ会社ページに現存(§6-7該当なし)。決算期2025年3月期は直近3期以内。",https://www.taxan.co.jp/jp/ir/upload_file/m004-m004_04/3_toukigyouseki_2025.pdf; https://www.taxan.co.jp/news-information/group_company/kagafei
930,001Nn00000eVeWq,1010001003966,スズデン株式会社,○,架電可,○,"○ 妥当：スズデン(株)は東証上場の親会社で§3-3により連結採用が正当。459.02億円=45,902百万円で桁検算一致。出典は自社IR財務ハイライトで承認ソース(§5-3-2)。基準300億の約1.5倍で判定は反転せず。",https://www.suzuden.co.jp/ir/highlight/
931,001Nn00000eVeWr,4320001011084,ダイハツ九州株式会社,○,架電可,○,"○ 妥当：第79期決算公告の売上高3,474億8,800万円＝347,488百万円でG列の桁・値とも一致（検算OK。第78期3,417.45億／第77期4,678.49億と系列も整合）。ダイハツ工業子会社だが単体決算公告値を採用しており§3-3適用は正しい。出典のgBizINFOは§3-4③の公的機関ソースで承認範囲内。なお第80期（2026年3月期）は4,543.27億円と更新済みのため、最新期へ更新するとさらに堅い。",https://catr.jp/companies/021c3/14470/settlements/9e911/409097;https://catr.jp/companies/021c3/14470
932,001Nn00000eVeWs,2011001039512,株式会社デンソーソリューション,○,架電可,○,"○ 妥当：(株)デンソーの子会社だが単体1,246億円で子会社基準300億を単体で充足(§3-3)。グループ連結値の流用ではなく子会社単体値であり§6-4の誤りに該当しない。出典は自社ドメイン内「数字で見るデンソーソリューション」で§5-3-9の承認ソース。2024年度は直近3期以内(§3-8)。基準の約4.2倍で判定は動かない。",https://www.denso-solution.com/recruit/company/number/
933,001Nn00000eVeWt,4160001008106,古河ＡＳ株式会社,○,架電不可（△要再確認）,×,"△ 要再確認：古河電工グループ子会社に単体値を当てる建て付けは正しいが、G列1,905億円（2025年度）を承認ソース上で確認できない。自社サイト（会社概要／数字で見る古河AS）は数値が画像・グラフのため検索で抽出不可、一方で禁止ソース側は1,233億円と大きく乖離しており、1,905億円が『数字で見る古河AS』のグループ売上高（＝§3-3が禁じる子会社へのグループ値当て）である可能性を排除できない。ただし低い方の値でも300億を大幅超過のため判定○自体は覆らない見込み。会社概要の単体/グループ表記と決算期を直接確認のこと。",https://www.furukawaas.co.jp/corporate/overview/;https://www.furukawaas.co.jp/figures/;https://www.furukawaas.co.jp/public-notice/public-notice-1494/
934,001Nn00000eVeWw,4130001000899,サンコール株式会社,○,架電可,○,"○ 妥当：サンコール(株)は東証上場の親会社で§3-3により連結採用が正当。522.23億円=52,223百万円で桁検算一致。出典は自社IR業績ハイライトで承認ソース(§5-3-2)。基準300億の約1.7倍。",https://www.suncall.co.jp/ir/financial/highlight/
935,001Nn00000eVeX2,5010001023779,住友大阪セメント株式会社,○,架電可,○,"○ 妥当：住友大阪セメント(株)は東証プライム上場の親会社で§3-3により連結採用が正当。2,237億円は自社HP会社概要の記載で承認ソース(§5-3-1)。基準300億の約7.5倍で判定は動かないため桁と親子判定のみ検証。",https://www.soc.co.jp/company/summary/
936,001Nn00000eVeX3,9010001034970,リケンテクノス株式会社,○,架電可,○,"○ 妥当：リケンテクノス(株)は東証プライム上場の親会社で§3-3により連結採用が正当。1,313億円は自社ドメイン内採用サイト会社データの記載で承認ソース(§5-3-9)。基準300億の約4.4倍で判定は動かない。",https://www.rikentechnos.co.jp/recruit/company/
937,001Nn00000eVeX5,5500001014778,丸住製紙株式会社,○,架電不可（×要修正）,×,× 要修正：架電対象から除外すべき。丸住製紙(株)は2025年2月28日に関連2社とともに東京地裁へ民事再生法の適用を申請し(負債総額約590億円・2024年11月期時点)、2025年3月に再生手続開始決定。2025年10月31日にカミ商事(株)が衛生用紙生産設備等の主要資産を譲受済み。決算期は3月ではなく11月期で、G列「422億円（2024年度・単体）」は民事再生前の自社HP掲載値であり現況を表さない。直近期の売上高は承認ソースで確認できず、主力設備譲渡後の年商が300億以上である保証がないため§3-5により直アポ大に載せてはいけない。再生計画案の提出期限は2026年1月末まで延長されており、架電先としての事業実体・体制が不安定。,https://www.tsr-net.co.jp/data/detail/1201169_1527.html; https://www.tsr-net.co.jp/data/detail/1201953_1527.html; https://www.ehime-np.co.jp/article/news202503060338; https://www.nikkei.com/article/DGXZQOCC138670T10C25A6000000/; https://kamisyoji.co.jp/; https://www.marusumi.co.jp/about/gaiyo.html
938,001Nn00000eVeXB,4010001008748,太平電業株式会社,○,架電可（G列訂正あり）,○,"○ 妥当（G列訂正：1,416.57億円（2026年3月期・連結））：架電可否は○のままだがG列の数値が誤り。太平電業(株)の2026年3月期決算短信(2026年5月14日)および決算説明資料(同5月21日)の売上高は連結141,657百万円=1,416.57億円(前期比12.7%増)。G列の192,675百万円=1,926.75億円は売上高ではなく受注高系の数字との取り違えと見られる(同期の受注高は196,992百万円)。単体1,926.75億円が連結1,416.57億円を上回るという矛盾も裏付け。同社は東証プライム上場の親会社のため§3-3により連結採用でよく、基準300億の約4.7倍で判定自体は反転しない。",https://www.taihei-dengyo.co.jp/ir/20260514_IR_01.pdf; https://www.taihei-dengyo.co.jp/news/20260521_IR_presentation.pdf; https://www.taihei-dengyo.co.jp/ir/finance/
939,001Nn00000eVeXH,3180001038176,ロジスティード中部株式会社,○,架電可,○,○ 妥当：ロジスティード子会社に単体値を採用しており§3-3適用は正しく、300億超も確実。ただしH列のURL https://www.logisteed.com/centraljapan/company/profile/ は実在せず、正しい会社概要は https://www.logisteed.com/centraljapan/corpo/outline/ 。G列549億円（2025年度）自体は再確認できなかったが、他ソースの2023年度488億円・2024年度507億円と整合する増加基調で、いずれの値でも300億超。2025年度決算公告が自社サイトに掲示済みのため、そちらで単体売上高を確定させると万全。,https://www.logisteed.com/centraljapan/corpo/outline/;https://www.logisteed.com/centraljapan/corpo/index.html
940,001Nn00000eVeXV,4360001000406,株式会社沖縄銀行,○,架電可,○,"○ 妥当：(株)沖縄銀行はおきなわフィナンシャルグループ(株)の子会社だが、単体経常収益430.28億円=43,028百万円(桁検算一致)で子会社基準300億を単体で充足(§3-3)。銀行のため売上高ではなく経常収益を採用しており§3-7に適合、H列にも明記済み。親会社おきなわFGの2026年3月期連結経常収益704.17億円(前期比19.8%増)とも整合的な規模。留意点として、H列の出典は「2026年3月期中間決算説明資料」だがG列の期は2025年3月期であり、最新の2026年3月期単体経常収益は今回の検索では特定できなかった。2025年3月期は直近3期以内で鮮度要件(§3-8)は満たす。",https://www.okinawafg.co.jp/_files/00055505/kessannsetumeisiryou_2026_2.pdf; https://www.okinawafg.co.jp/shareholder_investor/financial_results/; https://www.okinawa-bank.co.jp/shareholder/finance/; https://www.okinawatimes.co.jp/articles/-/1838123
941,001Nn00000eVeXX,7010401130925,株式会社やる気スイッチグループ,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。親会社やる気スイッチグループHDの連結売上収益が244.88億円(2024年度)で既に300億円未満であり、傘下事業会社である本法人の単体がこれを上回る余地はない。回収見込みなしと判断し本再検証では追加検索を配分していない（＝本行は未検証）。1次の経路＝自社HP・電子公告・JPX開示,https://www.yarukiswitch-holdings.co.jp/notice
942,001Nn00000eVeXa,8240001012153,コベルコ建機株式会社,△,架電不可（△要再確認）,×,"△ 妥当（回収不能を確認・重要な補強）：神戸製鋼所有報「関係会社の状況」の主要な損益情報等はWebSearchで取得できず。加えて国内販売は別法人コベルコ建機日本株式会社（決算公告 売上高576.42億円・2026年3月期）が担うことが判明し、建設機械セグメント3,895億円（2026年3月期）／3,880億円（2025年3月期）は同社ほか複数法人の合算である。よってセグメント値を法人番号8240001012153の単体売上へ読み替えるのは§6-4違反。自社電子公告 kessan_104.pdf（第104期＝2024年4月〜2025年3月、2025/6/20掲載）本文が唯一の確定経路だがPDFは取得不可。△を維持。",https://www.kobelcocm-global.com/jp/koukoku/;https://www.kobelcocm-global.com/jp/koukoku/tn29gt0000000162-att/kessan_104.pdf;https://catr.jp/companies/9634d/19667;https://www.kobelco.co.jp/ir/presentation/pdf/250512_hosoku_ir.pdf
943,001Nn00000eVeXc,9120001002215,株式会社鶴見製作所,○,架電可,○,"○ 妥当：(株)鶴見製作所は東証上場の親会社で、採用値は単体568.23億円=56,823百万円(桁検算一致)。親会社が単体で300億以上のため§3-3を充足し、連結値の流用でもない。出典はgBizINFO(EDINET有価証券報告書)で§5-3-3および§5-3-7の公的機関ソース。法人番号9120001002215で照合済み(§6-2)。基準の約1.9倍。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9120001002215; https://www.tsurumipump.co.jp/corporate/profile/outline.php
944,001Nn00000eVeXe,8370001001985,株式会社トーキン,△,架電不可（△要再確認）,×,△ 妥当（回収不能を確認）：自社HP電子公告に第115〜117期の決算公告PDFが掲載されていること（承認ソース§5-3-5）を再確認し、第115期＝2023年12月期の当期純利益54.54億円までは取れたが売上高は取得できず。catr.jp等の二次DBにも同社の決算公告データが存在しない。公式696億円（2025年）は連結値であり、YAGEO/KEMET傘下の子会社判定には単体が必要（§3-3／§6-4）。PDF本文を直接読める手段があれば確定可能。△を維持。,https://www.tokin.com/info/publicnotice/;https://www.tokin.com/koukoku/pdf/kessan_117.pdf;https://www.tokin.com/koukoku/pdf/kessan_115.pdf;https://www.tokin.com/info/tokin-info/gaiyo/
945,001Nn00000eVeXt,2012401013379,横河ソリューションサービス株式会社,○,架電可,○,"○ 妥当：横河電機(株)の子会社だが単体1,358億円で子会社基準300億を単体で充足(§3-3)。出典は自社HP会社概要の「売上規模 1,358億円（FY25実績）」で承認ソース(§5-3-1)。基準の約4.5倍で判定は動かないため追加検索は行っていない。留意点として決算期表記が「FY25実績」で単体/連結の別が原文に明示されておらず、厳密な期の特定はG列の記載に依拠している。",https://www.yokogawa.co.jp/about/yjp/about-us/company-organization/
946,001Nn00000eVeXu,9010601030238,フォーティエンスコンサルティング株式会社,△,架電不可（△要再確認）,×,△ 要再確認：官報決算公告（catr.jp収録）で2024年3月期 単体売上高734.67億円・純利益46.06億円・総資産420.16億円。NTTデータ100%子会社だが単体で300億超。ただし承認ソース（自社HP/親会社IR）に記載はなく、根拠が官報二次収録サイトのみで§7-1未決着。追加で当たった経路＝官報決算公告、NTTデータグループ公式（商号変更リリースのみ・売上高なし。連結4兆円超のため10%超注記による下限証明も不可）,https://catr.jp/companies/454d1/12720; https://www.nttdata.com/global/ja/news/group/2025/100100/; https://www.fortience.com/company/profile/
947,001Nn00000eVeYq,8140001050023,通菱テクニカ株式会社（現：三菱電機インフラテクニカ株式会社）,×,架電不可（元×判定が妥当と確認）,×,○ 妥当：既存の×（合併により法人格消滅）は正しい。2026/4/1に菱神テクニカ・菱彩テクニカ・通菱テクニカの3社が統合し三菱電機インフラテクニカ株式会社となったことを各社公式サイトで確認（§6-7）。ただし承継法人の三菱電機インフラテクニカ株式会社は現存し、架電先としては別途成立しうる。同社は三菱電機の子会社のため単体300億以上が必要だが単体売上高は承認ソース未確認。C列の社名注記は要件を満たしている。,https://www.tsuryo.co.jp/;https://www.mitechnica.co.jp/
948,001Nn00000eVeYv,9140001047877,ＳＥＣカーボン株式会社,×,架電不可（元×判定が妥当と確認）,×,"○ 妥当：既存の×判定は正しい。2026年3月期決算短信で連結売上高251億100万円（前期比19.5%減）を確認し、G列の25,101百万円＝251.01億円と一致。上場親会社のため連結で判定してよいがそれでも300億未満。翌2027年3月期の会社予想265億円も基準未達。300億まで49億円差の境界行。",https://sec-carbon.com/wp/wp-content/uploads/2026/05/da2ad6263b427e1cf51202a36beb96f2.pdf
949,001Nn00000eVeYy,8010001053740,双日建材株式会社,○,架電可,○,"○ 妥当：自社HP会社概要で売上高797億円（2026年3月期）を確認、H列URLも実在。双日100%子会社に対し単体値を採用しており§3-3適用は正しい。収益認識基準前の総額売上高1,878億円を併記している点も§6-3の要求を満たしている。修正不要。",https://www.sojitz-bm.com/corporate/profile/;https://www.sojitz-bm.com/corporate/financial/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8010001053740
950,001Nn00000eVeZJ,3030001045666,サンケン電気株式会社,○,架電可,○,○ 妥当：サンケン電気(株)は東証プライム上場の親会社で§3-3により連結採用が正当。801億75百万円=801.75億円で桁検算一致(§6-1の複合単位表記)。出典は自社HP会社概要で承認ソース(§5-3-1)。基準300億の約2.7倍。,https://www.sanken-ele.co.jp/corp/about_sanken/corp02.htm
951,001Nn00000eVehz,5250001005919,長府工産株式会社,○,架電可,○,○ 妥当：長府工産(株)の自社HP企業概要で2026年3月期の売上高443億円を再現確認。非上場の単独企業で単体値、連結値の流用ではない。法人番号5250001005919で照合済み(§6-2)。決算期も2026年3月期で最新(§3-8)。採用値443億円は基準300億に対し約1.5倍だが450億円未満のため要注意行として計上。なお同名・類似名の(株)長府製作所とは別法人であり取り違えなし。,https://chofukosan.com/corporate-info/; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5250001005919
952,001Nn00000eVei5,1122001007449,レジル株式会社,○,架電可,○,"○ 妥当：レジル(株)は東証グロース上場(176A)の親会社。2025年6月期決算短信(2025年8月14日)で連結売上高466.47億円=46,647百万円を確認。G列の個別40,174百万円=401.74億円は決算短信の個別財務諸表値で、今回の検索では個別値そのものの再現には至らなかったが、親会社であるため§3-3により連結466.47億円・個別401.74億円のいずれでも300億超で判定は同一。親会社なので連結値の併記がより適切。決算期2025年6月期は直近3期以内。採用値が450億円未満のため要注意行として計上。",https://rezil.co.jp/wp-content/themes/rezil/assets/ir_pdf/news/140120250814542282.pdf; https://rezil.co.jp/ir/calendar/
953,001Nn00000eVeiI,6120001049614,合同製鐵株式会社,○,架電可,○,○ 妥当：合同製鐵(株)は東証プライム上場の親会社で、採用値は単体935億円。親会社が単体で300億以上のため§3-3を充足し、グループ連結値の流用ではない。出典は自社HP会社概要で承認ソース(§5-3-1)。基準300億の約3.1倍で判定は動かない。,https://www.godo-steel.co.jp/company/
954,001Nn00000eVeio,4180001019308,京楽産業．株式会社,△,架電不可（△要再確認）,×,△ 要再確認：第64期＝2025年6月期の単体売上高609.88億円・営業利益65.75億円（前期比117.9%増、前期は131.76億円の営業損失）。官報決算公告（catr.jp収録）と業界メディアgamebiz報道が一致。300億は超えるが、承認ソース（自社HP・新聞社記事）には売上高の記載がなく§7-1未決着。追加で当たった経路＝官報決算公告、業界専門メディア,https://catr.jp/companies/95cc3/9020/settlements/48e79/348092; https://gamebiz.jp/news/424959; https://www.kyoraku.co.jp/company/about.php
955,001Nn00000eVejL,1340001014971,サンキョーミート株式会社,○,架電可,○,○ 妥当：伊藤ハム米久HD100%子会社に単体値を採用しており§3-3適用は正しい。売上高700億円は2025年3月期の値で、G列の『2024年度』と決算期が一致（§3-8の鮮度も可）。300億超は確実。表記上の指摘のみ：H列の『売上規模700億円』は『売上高700億円（2025年3月期）』と明記した方が監査時に曖昧さがない。,https://sankyomeat.co.jp/en/company/company-profile/;https://sankyomeat.co.jp/
956,001Nn00000eVek0,8020001077202,株式会社シグマ,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。追加で当たった経路＝官報決算公告データベース（catr.jp収録の『株式会社シグマ』は京都市西京区・仙台市の別法人で、川崎市麻生区の当社の決算公告は未収録）、自社HP会社概要・採用サイト（売上高記載なし）。534.81億円(2024年8月期)・550.22億円(2025年8月期)はWikipedia/Baseconnect/求人媒体のみで承認外,https://www.sigma-global.com/jp/corporate-overview/; https://catr.jp/companies/93118/230045; https://recruiting.sigma-photo.co.jp/about-3minutes.html
957,001Nn00000eVekD,5310001001309,国分九州株式会社,○,架電可,○,"○ 妥当：国分グループ本社(株)の子会社だが単体1,477.69億円=147,769百万円(桁検算一致)で子会社基準300億を単体で充足(§3-3)。グループ連結値の流用ではなく国分九州単体の会社概要記載値であり§6-4の誤りに該当しない。出典は自社HP会社概要で承認ソース(§5-3-1)。基準の約4.9倍。",https://www.kokubu.co.jp/kyushu/company/outline/
958,001Nn00000eVekO,6100001021418,株式会社ヤマウラ,○,架電可,○,"○ 妥当：(株)ヤマウラは東証上場の親会社。採用値39,004,120千円=390.0412億円で桁検算一致(千円単位の読み違いなし)。親会社が単体で300億以上のため§3-3を充足。出典はgBizINFO(EDINET有価証券報告書)で公的機関ソース(§5-3-3/§5-3-7)。法人番号6100001021418で照合済み。なお検索では同社2026年3月期決算短信・通期決算説明資料の存在は確認できたが、要約に無関係のヤマエグループHDの数値が混入したため単体値の独立再現は避けた。採用値が450億円未満のため要注意行として計上。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=6100001021418; https://yamaura.co.jp/ir/material/results/
959,001Nn00000eVeke,8010801008365,株式会社東横イン,○,架電可,○,"○ 妥当：(株)東横インの2026年3月期・単体売上高1,623億円を自社公式サイトの決算発表ニュース(2026年6月19日)および「数字で知る東横INN」で再現確認。前期比12.8%増、営業利益率20.4%との整合も確認。非上場だが自社HP発信のため承認ソース(§5-3-1)。基準300億の約5.4倍。D列のWebサイトが空欄だが公式サイトは toyoko-inn.co.jp で実在。",http://www.toyoko-inn.co.jp/news/news_260619.html; https://www.toyoko-inn.co.jp/company/numbers.html; https://www.toyoko-inn.co.jp/company/
