取引先 ID,法人番号,取引先名,Web サイト,売上（範囲）,アポインターメモ_検索用,,
001Nn00000eVg7F,3010501014528,株式会社マルゼン,http://www.maruzen-kitchen.co.jp/,"5: 300億円以上~1,000億円未満",🔵MC:人事・総務グループ 03-5603-7111 ｜ ★07/27(月)、定時00:00、⭐🌟🚨🔵🌑✳✡🌅💎🔥,636.51億円（2026年2月期・単体）,"○ Gビズインフォ（EDINET有価証券報告書）単体売上高63,651,104千円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3010501014528"
001Nn00000eVg7O,7010401086168,株式会社ＬＥＯＣ,https://www.leoc-j.com/corporate_profile/outline.php,"6: 1,000億円以上",⭐／,"1,410億円（2026年3月期・単体）","○ 自社HP会社概要 単体売上高1,410億円 https://www.leoc-j.com/corporate_profile/outline.php"
001Nn00000eVg7c,9430001007785,株式会社正栄プロジェクト,https://www.eaglegroup.co.jp/corporate/outline.html,"5: 300億円以上~1,000億円未満",,675億円（2024年12月期・単体）,○ 自社HP会社概要 売上高675億円（2024年12月期実績） https://www.eaglegroup.co.jp/corporate/outline.html
001Nn00000eVg7f,2011101056358,株式会社ＮＴＴデータ・アイ,http://www.nttd-i.co.jp/,"5: 300億円以上~1,000億円未満",,964億円（2025年度・単体）,○ 自社HP会社概要 売上高964億円（2025年度実績） https://www.nttd-i.co.jp/corporate/profile.html
001Nn00000eVg7j,6011001029641,鉄道情報システム株式会社,https://www.jrs.co.jp/,"5: 300億円以上~1,000億円未満",🔵MC:総務部／人事課 03-5334-0655 ｜ 【属性】🧸/　👤経理：経理部　部長　沖(オキ)様　新任,383億円（2025年度・単体）,○ 自社HP会社概要 売上高383億円（2025年度） https://www.jrs.co.jp/company/overview/
001Nn00000eVg8J,5120001062898,共英製鋼株式会社,https://www.kyoeisteel.co.jp/ja/company/overview.html,"6: 1,000億円以上",,"1,373億円（2026年3月期・単体）","○ 自社HP会社概要 単体売上高1,373億円 https://www.kyoeisteel.co.jp/ja/company/overview.html"
001Nn00000eVg8k,9010401070789,コナミグループ株式会社,https://www.konami.com/corporate/ja/subsidiaries,"6: 1,000億円以上",,"4,936.77億円（2026年3月期・連結）","○ 自社IR 2026年3月期決算短信。連結売上高493,677百万円 https://www.konami.com/ir/ja/ir-data/"
001Nn00000eVg9h,3180001075467,株式会社足立ライト工業所,http://www.adachilight.co.jp/index.html,"5: 300億円以上~1,000億円未満",,確認不可,△ 自社HP・Gビズインフォ・決算公告を確認したが承認ソースで直近売上高を確認できず。求人媒体に194億円の記載があるが不採用 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3180001075467
001Nn00000eVgA2,5060001003116,株式会社東武宇都宮百貨店,https://www.tobu-u-dept.jp/,"5: 300億円以上~1,000億円未満",,確認不可,△ 東武鉄道100%子会社。自社HP・Gビズインフォ・親会社統合報告書・決算公告を確認したが直近単体売上高なし。公式最新明記240億円は2019年度で3期超 https://www.tobu-u-dept.jp/tenant/entry.php
001Nn00000eVgAB,3011001010678,シマダヤ株式会社,https://www.shimadaya.co.jp/company/info/,"5: 300億円以上~1,000億円未満",,410億円（2026年3月期・単体）,○ 自社HP会社概要 単体売上高410億円 https://www.shimadaya.co.jp/company/info/
001Nn00000eVgBP,7010001034865,東洋埠頭株式会社,https://www.toyofuto.co.jp/company/outline/,"5: 300億円以上~1,000億円未満",,380億円（2026年3月期・連結・営業収益）,○ 自社HP会社概要 連結営業収益380億円 https://www.toyofuto.co.jp/company/outline/
001Nn00000eVgBe,9110001008097,株式会社Ｊリスクマネージメント,https://www.j-risk.jp/company/,"5: 300億円以上~1,000億円未満",,確認不可,△ 自社HP会社概要・公式第21期決算公告・Gビズインフォを確認。決算公告は貸借対照表のみで売上高記載なし https://www.j-risk.jp/public_notice/
001Nn00000eVgBi,8060001002998,栃木トヨタ自動車株式会社,https://www.tochigitoyota.com,"5: 300億円以上~1,000億円未満",,480億円（2025年3月期・単体）,○ 自社HP企業情報 年間売上高480億円 https://www.tochigitoyota.com/corporate
001Nn00000eVgBj,6310001007437,長崎キヤノン株式会社,https://nagasaki.canon/,"5: 300億円以上~1,000億円未満",,確認不可,△ キヤノン子会社。自社HP会社概要・Gビズインフォ・親会社公開資料を確認したが単体売上高の承認ソースなし。民間の官報転載992.94億円は不採用 https://nagasaki.canon/about/index.html
001Nn00000eVgBl,5010701019713,株式会社モスフードサービス,https://www.mos.co.jp/company/outline/profile/,"5: 300億円以上~1,000億円未満",,761.88億円（2026年3月期・単体）,"○ Gビズインフォ（EDINET有価証券報告書）単体売上高76,188百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5010701019713"
001Nn00000eVgBs,4240001034184,株式会社北川鉄工所,http://www.kiw.co.jp/,"5: 300億円以上~1,000億円未満",🔵MC:人事部／人事課 0847-40-0503 / 小畠誠 執行役員経営管理本部安全・環境推進部長、,584.15億円（2026年3月期・連結）,○ 自社HP会社情報 連結売上高584億円 https://www.kiw.co.jp/company
001Nn00000eVgBu,7013201005504,株式会社牧野フライス製作所,https://www.makino-mts.co.jp/corporate,"6: 1,000億円以上",,"2,611.84億円（2026年3月期・連結）","○ 自社HP会社概要 連結売上高261,184百万円 https://www.makino.co.jp/ja-jp/about-us/company-profile"
001Nn00000eVgBx,5070001021901,株式会社とりせん,https://www.torisen.co.jp/company/company-profile/,"5: 300億円以上~1,000億円未満",／,"1,008億円（2026年2月期・単体）","○ 自社HP会社概要 年間売上高1,008億円（2026年2月実績） https://www.torisen.co.jp/company/company-profile/"
001Nn00000eVgMu,9010001034847,東都水産株式会社,http://www.tohsui.co.jp/,"5: 300億円以上~1,000億円未満",,850.60億円（2026年3月期・単体）,"○ 自社HP会社概要 単体売上高850億6,000万円 https://www.tohsui.co.jp/company/overview/"
001Nn00000eVgMy,4010601015805,株式会社宮田,http://www.miyata-net.co.jp,"5: 300億円以上~1,000億円未満",,確認不可,△ 自社HP会社概要・Gビズインフォ・決算公告を確認したが承認ソースで直近売上高を確認できず。求人媒体の260.55億円は不採用 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4010601015805
001Nn00000eVgN2,2010401078995,全農チキンフーズ株式会社,http://www.ja-zcf.co.jp,"5: 300億円以上~1,000億円未満",,"1,477億円（2025年度・単体）","○ 自社HP会社概要 年商1,477億円（2025年度実績） https://www.ja-zcf.co.jp/zc/corp/outline/"
001Nn00000eVgNL,1370801000359,株式会社キタセキ,https://www.kitaseki.co.jp/,"6: 1,000億円以上",🌳★07/14(火)、定時00:00、🔵🌑✳✡🔥 ・人事部/ナガサワ様,"2,362億円（現行会社概要・決算期記載なし）","○ 自社HP現行会社概要 年商（売上高）2,362億円 https://www.kitaseki.co.jp/company/summary/"
001Nn00000eVgNa,4120001072725,エスリード株式会社,https://www.eslead.co.jp/company/outline/,"5: 300億円以上~1,000億円未満",イワマシリュウ_2026/08/10,886.19億円（2026年3月期・単体）,"○ Gビズインフォ（EDINET有価証券報告書）単体売上高88,619,317千円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4120001072725"
001Nn00000eVgNb,1400001000791,株式会社ベルジョイス,https://www.beljois.co.jp/about/index.html,"5: 300億円以上~1,000億円未満",★09/14(金)17:00～、定時17:00、🔵🌑✳✡🌅🔥🐧👤情シス/DX👤人事👤総務/管理,846.68億円（2025年2月期・単体）,○ 親会社アークス公式統合報告書2025。ベルジョイス売上高846億68百万円 https://www.arcs-g.co.jp/vc-files/arcs-g/ir/pdf/2025/arcs-g_integrated_report_2025.pdf
001Nn00000eVgNc,9010401015273,住友金属鉱山株式会社,https://www.smm.co.jp/r_info/saiyo/company.html,"6: 1,000億円以上",,"15,072.08億円（2026年3月期・単体）","○ Gビズインフォ（EDINET有価証券報告書）単体売上高1,507,208百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9010401015273"
001Nn00000eVgPK,9060001036392,藤田金属株式会社,,"5: 300億円以上~1,000億円未満",,確認不可,△ 法人番号9060001036392で照合すると栃木県真岡市の藤田金属株式会社。自社サイト・財務情報を特定できず、同名別法人の数値は不採用 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9060001036392
001Nn00000eVgTl,6180001010974,フジパンストアー株式会社,https://www.fujipanstore.com/about/,"5: 300億円以上~1,000億円未満",,確認不可,△ フジパングループ子会社。自社HP・Gビズインフォ・親会社公式会社概要・決算公告を確認したが単体売上高なし。グループ売上は不採用 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=6180001010974
001Nn00000eVgXQ,5010701001101,イワタボルト株式会社,https://iwatabolt.co.jp/company/,"5: 300億円以上~1,000億円未満",,確認不可,△ 自社HP会社概要・Gビズインフォ・決算公告を確認したが直近売上高の記載なし https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5010701001101
001Nn00000eVgXq,9011401007178,ニデックプレシジョン株式会社,https://www.nidec.com/jp/nidec-copal,"5: 300億円以上~1,000億円未満",🌳★08/17(月)、定時00:00、✳✡,322.95億円（2025年3月期・単体）,"○ Gビズインフォ第89期決算公告。単体売上高32,295百万円 https://info.gbiz.go.jp/hojin/financialstatement?kessanJohoId=7fa53c76-aef2-4c1f-8a5c-51056289fcbc"
001Nn00000eVgXw,8010401021784,ＮＥＣキャピタルソリューション株式会社,http://www.necap.co.jp,"6: 1,000億円以上",🔵MC:人事部 03-6720-8354 ｜ ☆V 07/09〈木〉、定時00:00、🌟🚨✳✡🌅❄🔥/アツい！/💰・経営企画部/部長/佐藤 崇之/・ソリューション本部/本部長/住江 眞/,"2,414.76億円（2026年3月期・単体）","○ Gビズインフォ（EDINET有価証券報告書）単体売上高241,476百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8010401021784"
001Nn00000eVgdQ,9010001064753,日本調剤株式会社,https://www.nicho.co.jp/corporate/profile/about/,"6: 1,000億円以上",,"3,156.14億円（2025年3月期・単体）","○ Gビズインフォ（EDINET有価証券報告書）単体売上高315,614百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9010001064753"
001Nn00000eVge9,4100001019463,高天酒造株式会社,http://www.koten-sake.co.jp/,"5: 300億円以上~1,000億円未満",,確認不可,△ 自社HP・Gビズインフォ・決算公告を確認したが直近売上高を承認ソースで確認できず https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4100001019463
001Nn00000eVgju,7230001000928,コーセル株式会社,https://www.cosel.co.jp/,"5: 300億円以上~1,000億円未満",オカモトアツキ,【300億未満】175.98億円（2026年5月期・単体）,"× 300億未満。Gビズインフォ（EDINET有価証券報告書）単体売上高17,598百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=7230001000928"
001Nn00000eVgmo,4120001076916,加藤金属興業株式会社,https://kato-metals.co.jp/,"5: 300億円以上~1,000億円未満",イシマツハル,確認不可,△ 自社HP会社概要・Gビズインフォ・決算公告を確認したが承認ソースで直近売上高を確認できず https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4120001076916
001Nn00000eVgmv,8470001002701,株式会社タダノエステック,http://sys.tadano.co.jp/s-tec/company/profile,"6: 1,000億円以上",,確認不可,△ タダノ100%子会社。自社HP会社概要・親会社公開資料・Gビズインフォ・決算公告を確認したが単体売上高の承認ソースなし http://sys.tadano.co.jp/s-tec/company/profile
001Nn00000eVgnq,9120001067885,株式会社讀宣,https://www.yomisen.co.jp/,"5: 300億円以上~1,000億円未満",,【300億未満】139億円（2025年度・単体）,× 300億未満。自社HP会社概要 年商139億円（2025年度単体） https://www.yomisen.co.jp/company/index.html
001Nn00000eVgoH,4010001073486,株式会社三菱ＵＦＪフィナンシャル・グループ,,"6: 1,000億円以上",,"146,208.43億円（2026年3月期・連結・経常収益）","○ 自社IR 2026年3月期決算短信。連結経常収益14,620,843百万円 https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf"
001Nn00000eVgpc,3130001020766,株式会社コスモネット,https://www.cosmonet.ne.jp/access/,"5: 300億円以上~1,000億円未満",キクチリョウスケ,"1,040億円（2026年3月期・グループ計）","○ 自社HP会社概要 売上高1,040億円（2026年3月期グループ計） https://www.cosmonet.ne.jp/company/outline/index.html"
001Nn00000eVgpd,5013301012443,株式会社良品計画,https://www.ryohin-keikaku.jp/,"6: 1,000億円以上",,"7,846.29億円（2025年8月期・連結・営業収益）","○ 自社HP会社概要 グループ連結営業収益7,846億29百万円 https://www.ryohin-keikaku.jp/corporate/overview"
001Nn00000eVgpe,2120001012749,大光電機株式会社,https://www.lighting-daiko.co.jp/,"5: 300億円以上~1,000億円未満",,474億円（2025年度・単体）,○ 自社HP会社概要 売上高474億円（2025年度） https://www2.lighting-daiko.co.jp/company/outline/
001Nn00000eVgpr,7370001005153,株式会社サトー商会,https://www.satoh-web.co.jp/company/profile/,"5: 300億円以上~1,000億円未満",🔵MC:人事部／人事課 022-236-5603 ｜ ヤナギダタツヤ0809,458.50億円（2026年3月期・単体）,"○ Gビズインフォ（EDINET有価証券報告書）単体売上高45,849,732千円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=7370001005153"
001Nn00000eVgpv,1010701028684,株式会社ローソンストア１００,https://store100.lawson.co.jp/,"6: 1,000億円以上",🔵MC:コーポレート本部／人事ユニット 044-201-8152 ｜🎯360:人材教育ユニット 044-201-8453（旧直通:経営企画部：03-4334-6799） ｜ 🌳★V06/03(水)、定時00:00、✳✡❄,確認不可,△ ローソン子会社。自社HP会社概要・Gビズインフォ・親会社月次/決算資料を確認したが単体年間売上高を特定できず。親会社連結値は不採用 https://store100.lawson.co.jp/company/outline/about/
001Nn00000eVgpw,9040001030133,株式会社ワイズマート,https://www.ysmart.co.jp/company/corporate/,"5: 300億円以上~1,000億円未満",,557億円（2026年2月期・単体）,○ 自社HP会社概要 売上高557億円（2026年2月期実績） https://www.ysmart.co.jp/company/corporate/
001Nn00000eVgpx,4011101006006,株式会社京王百貨店,http://www.keionet.com/,"5: 300億円以上~1,000億円未満",🔵MC:人事部 03-5354-2872 / 森雅弘 経理部長（京王地下駐車場取締役総務部長）（旧直通:代表番号：0570-022-810）,881.80億円（2026年3月期・単体）,"○ 自社HP企業概要 売上高88,180百万円 https://www.keionet.com/corp/company/outline.html"
001Nn00000eVgq1,7030001037230,日立建機日本株式会社,https://japan.hitachi-kenki.co.jp/company/hcmj/outline/,"6: 1,000億円以上",,"2,028.19億円（2026年3月期・単体）","○ 親会社日立建機のEDINET有価証券報告書「主要な損益情報等」売上収益202,819百万円 https://info.gbiz.go.jp/hojin/edinetDownload?docId=S100YIBR"
001Nn00000eVgq5,8030001046841,株式会社本田技術研究所,https://global.honda/jp/RandD/about/cpgc/,"6: 1,000億円以上",イワマシリュウ_2026/08/10,"2,193.41億円（2025年3月期・単体）","○ Honda公式組織再編資料「承継会社の直前事業年度の経営成績」売上高219,341百万円 https://global.honda/jp/investors/library/filings/auto_20260210553732/pdfFile.pdf"
001Nn00000eVgq9,1260001013073,倉敷化工株式会社,https://www.kuraka.co.jp/corporation/outline,"5: 300億円以上~1,000億円未満",,342億円（2024年3月期・単体）,○ 自社HP会社概要 単体売上高342億円 https://ftp.kuraka.co.jp/corporation/outline.html
001Nn00000eVgqB,9180001088975,ニデックモビリティ株式会社,https://www.nidec.com/jp/nidec-mobility/,"6: 1,000億円以上",,"1,368億円（2023年度・単体）","○ 自社HP企業概要 売上高1,368億円（2023年度） https://www.nidec.com/jp/nidec-mobility/corporate/about/outline/"
001Nn00000eVgqH,4120101002532,堺化学工業株式会社,https://www.sakai-chem.co.jp/jp/,"5: 300億円以上~1,000億円未満",🔵MC:人事部 072-223-4112 / 栩山雅勝 総務部長（情報システム部長） ｜ 🌳★08/17(月)、定時00:00、🔥訴求用 ・人事総務部/部長/弓岡　晃一/※1,416.33億円（2026年3月期・単体）,"○ Gビズインフォ（EDINET有価証券報告書）単体売上高41,633百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4120101002532"
001Nn00000eVgqK,8010401022551,日本コンクリート工業株式会社,https://www.ncic.co.jp/company/info.html,"5: 300億円以上~1,000億円未満",,313.43億円（2026年3月期・単体）,"○ Gビズインフォ（EDINET有価証券報告書）単体売上高31,342,743千円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8010401022551"
001Nn00000eVgqn,4020001057348,株式会社杉孝,https://www.sugiko.co.jp/about/profile/,"5: 300億円以上~1,000億円未満",,371億円（2025年12月期・単体）,○ 自社HP会社概要 売上高371億円 https://www.sugiko.co.jp/about/profile/
001Nn00000eVgrA,4010401010089,株式会社コシダテック,https://www.koshida.co.jp/company/outline.html,"5: 300億円以上~1,000億円未満",,【300億未満】230億円（2026年3月期・単体）,× 300億未満。自社HP会社概要 売上高230億円 https://www.koshida.co.jp/company/outline.html
001Nn00000eVgrR,5010701019754,日本ピュアフード株式会社,https://www.purefood.co.jp/about/profile.htm,"5: 300億円以上~1,000億円未満",🔵MC:管理本部／人事部／労務安全衛生課 03-5759-8588 ｜🎯360:管理本部／人事部／人財キャリア開発課 03-5759-8588,595億円（2026年3月期・単体）,○ 自社HP会社概要 売上高595億円 https://www.purefood.co.jp/about/profile.htm
001Nn00000eVgrW,5010501021530,住友重機械建機クレーン株式会社,https://www.hsc-cranes.com/jp/company/profile.html,"5: 300億円以上~1,000億円未満",8/6シモムラソウノスケ　【属性】🧸/👤情シス/DX：・💰情報システム部/部長/(例)菅野 克博/※1 ・💰情報システム部/非開示/(例)渡辺 孝史/※2,410億円（2025年12月期・単体）,○ 自社HP会社概要 売上高410億円 https://www.hsc-cranes.com/jp/company/profile.html
001Nn00000eVgrZ,8120001060544,アズワン株式会社,https://www.as-1.co.jp/company/profile/,"5: 300億円以上~1,000億円未満",,"1,056.03億円（2026年3月期・単体）","○ Gビズインフォ（EDINET有価証券報告書）単体売上高105,603百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8120001060544"
001Nn00000eVgra,7180001051852,中日本フード株式会社,https://www.nfgroup.co.jp/middlefood/,"6: 1,000億円以上",X,"1,915億円（2026年3月期・単体）","○ 自社HP会社案内 売上高1,915億円 https://www.nfgroup.co.jp/middlefood/company/"
001Nn00000eVgrb,5380001006152,日本全薬工業株式会社,https://www.zenoaq.com/about-us/company-overview/,"5: 300億円以上~1,000億円未満",シモムラソウノスケ　7/16,466億円（2025年度・単体）,○ 自社HP会社概要 売上高466億円 https://www.zenoaq.com/about-us/company-overview/
001Nn00000eVgrd,4010401049128,三井住友ＤＳアセットマネジメント株式会社,https://www.smd-am.co.jp/,"6: 1,000億円以上",,確認不可,△ 自社HP会社情報・ディスクロージャー資料、Gビズインフォ、公的開示を確認したが対象法人の直近営業収益を承認ソースで特定できず https://www.smd-am.co.jp/corporate/
001Nn00000eVgre,2080401004441,株式会社浜友Ａ．Ｌ．,https://www.parao.co.jp/,"6: 1,000億円以上",,確認不可,"△ 自社公式サイト・Gビズインフォ・官報決算公告を確認したが売上高非開示。求人媒体の2,238億円は承認外のため不採用 https://hamatomo.co.jp/"
001Nn00000eVgrf,6030001060489,キヤノン・コンポーネンツ株式会社,https://compo.canon/ja/,"5: 300億円以上~1,000億円未満",,確認不可,△ キヤノン子会社。自社HP・Gビズインフォ・親会社公開資料・直近決算公告を確認したが売上高非開示。求人/口コミ媒体の数値は不採用 https://compo.canon/ja/company/profile/
001Nn00000eVgri,9180001021408,アイホン株式会社,https://www.aiphone.co.jp/corp/info/,"5: 300億円以上~1,000億円未満",,538.61億円（2026年3月期・単体）,"○ Gビズインフォ（EDINET有価証券報告書）単体売上高53,861百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9180001021408"
001Nn00000eVgrq,2120001002188,株式会社椿本チエイン,https://www.tsubakimoto.jp/company/profile/overview/,"6: 1,000億円以上",／,"1,179.04億円（2026年3月期・単体）","○ Gビズインフォ（EDINET有価証券報告書）単体売上高117,904百万円 https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2120001002188"
001Nn00000eVgrr,4180001101313,イオンビッグ株式会社,https://www.aeonbig.co.jp/,"5: 300億円以上~1,000億円未満",6/22シモムラソウノスケ,"約2,950億円（自社採用HP現行値）","○ 自社採用HP「数字でわかるイオンビッグ」。売上高約2,950億円。https://www.aeonbig.co.jp/recruit/employ/data/"
001Nn00000eVgtx,9120001058777,株式会社メガチップス,https://www.megachips.co.jp/company/outline/,"5: 300億円以上~1,000億円未満",,361.69億円（2026年3月期・連結）,"○ 自社IR「売上・損益状況」。2026年3月期売上高36,169百万円。https://www.megachips.co.jp/irinfo/finance/sales/index.html"
001Nn00000eVgtz,9120001168725,クリヤマジャパン株式会社,https://www.kuriyama.co.jp/company/access/,"5: 300億円以上~1,000億円未満",🔵MC:総務部／人事グループ 06-6910-7013 / 友永和男 ミトヨ常務管理本部長（管理本部総務部長）（旧直通:ＩＴ統括室：06-6910-7063） ｜ 🔥管理本部 人事部　部長　常盤 孝大 （ときわ）,確認不可,"△ 子会社。自社HP・親会社クリヤマHD事業報告を確認。アジア事業売上37,665百万円は複数社を含むセグメント値で、クリヤマジャパン単体売上を確定できず。https://www.kuriyama-holdings.com/press/uploads/businessreport2026.pdf"
001Nn00000eVgu7,8013301010956,株式会社フルヤ金属,https://www.furuyametals.co.jp/corporate/profile/,"5: 300億円以上~1,000億円未満",【属性】R/ 👤人事：人事部　部長　瀬下 昌彦　🔵MC:人事部 03-5977-3377 / 西村勉 取締役、執行役員管理本部総務・CSR兼シ（旧直通:システム部：03-5977-3377） ｜ サトウリョウト26/08/10,573.79億円（2025年6月期・連結）,○ 自社IR。2025年6月期連結売上高573億79百万円。https://www.furuyametals.co.jp/ir/message/
001Nn00000eVguA,6460301002107,丸玉木材株式会社,http://www.marutama-ind.com/,"5: 300億円以上~1,000億円未満",◆08/24(月)、定時00:00、09:30/情報グループ/グループ長/松本(マツモト)様,確認不可,△ 確認不可。自社HP・gBizINFO・決算公告を確認したが、直近3期の承認ソースで売上高を確認できず。http://www.marutama-ind.com/
001Nn00000eVguE,1010001108872,株式会社クマヒラ,https://www.kumahira.co.jp/,"5: 300億円以上~1,000億円未満",／,確認不可,△ 確認不可。自社HP・gBizINFO・決算公告を確認したが、直近3期の承認ソースで売上高を確認できず。https://www.kumahira.co.jp/
001Nn00000eVgws,6010401090245,エムイーシーテクノ株式会社,https://www.mec-techno.co.jp/company/profile/,"5: 300億円以上~1,000億円未満",,560億円（2026年3月期・単体）,○ 自社HP会社概要。2026年3月期売上高560億円。https://www.mec-techno.co.jp/company/profile/
001Nn00000eVgwu,3010001034778,株式会社弘電社,https://www.kk-kodensha.co.jp/company/company.html,"5: 300億円以上~1,000億円未満",,442.34億円（2026年3月期・連結）,"○ 自社IR決算資料。2026年3月期連結売上高44,234百万円。https://www.kk-kodensha.co.jp/investor/ir_report.html"
001Nn00000eVgwx,5120001170107,ロジスティード西日本株式会社,https://www.logisteed.com/westjapan/corpo/outline/index.html,"5: 300億円以上~1,000億円未満",,785億円（2026年3月期・単体）,○ 自社採用HP会社情報。2026年3月期売上高785億円。https://www.logisteed.com/westjapan/newgrad/company/
001Nn00000eVgx6,1012401010815,株式会社飯田産業,https://www.iidasangyo.co.jp/company/profile/,"6: 1,000億円以上",◆08/24(月)、定時00:00、,"2,592.50億円（2026年3月期・単体）","○ 親会社の2026年3月期有価証券報告書「主要な損益情報等」。飯田産業単体売上高259,250百万円。EDINET https://disclosure2.edinet-fsa.go.jp/"
001Nn00000eVgxF,6210001011936,株式会社福井村田製作所,https://www.murata.com/ja-jp/group/fukuimurata,"6: 1,000億円以上",🌳★07/27(月)、定時00:00、🔵🌑✳✡🌅,確認不可,△ 子会社。自社採用HP・親会社村田製作所開示を確認したが、公開値はムラタグループ連結値のみで、福井村田製作所単体売上を確認できず。https://recruit.murata.com/ja-jp/area/fukuimurata/about/data/
001Nn00000eVgxG,6010801015479,株式会社バンダイナムコアミューズメント,https://am.bandainamco-am.co.jp/about/,"5: 300億円以上~1,000億円未満",,975.49億円（2026年3月期・単体）,"○ 自社公式の2026年3月期決算公告・損益計算書。売上高97,549百万円。https://am.bandainamco-am.co.jp/documents/ir/20260615.pdf"
001Nn00000eVgxH,1010001008651,ウシオ電機株式会社,http://www.ushio.co.jp,"5: 300億円以上~1,000億円未満",☢※リスケ：https://app.spirinc.com/t/E7HVLxy1n5-XfJGP5odi6/as/9wIb9hsX_tmw-cHeSX_8S/confirm-guest,"1,792.11億円（2026年3月期・連結）","○ JPX決算短信。2026年3月期連結売上高179,211百万円。https://www2.jpx.co.jp/disc/69250/140120260423509670.pdf"
001Nn00000eVgxQ,9150001013309,株式会社ヒラノテクシード,https://www.hirano-tec.co.jp/profile/profile.html,"5: 300億円以上~1,000億円未満",,322.85億円（2026年3月期・連結）,"○ 自社IR決算短信。2026年3月期連結売上高32,285,374千円。https://www.hirano-tec.co.jp/mt_asset/102_04-kesan.pdf"
001Nn00000eVgxS,6010401089907,株式会社なか卯,https://www.nakau.co.jp/jp/company/profile.html,"5: 300億円以上~1,000億円未満",,確認不可,△ 子会社。自社HP・親会社ゼンショーHD開示・gBizINFOを確認したが、公開資料はセグメント値中心で、なか卯単体売上高を承認ソースで確認できず。https://www.nakau.co.jp/jp/company/profile.html
001Nn00000eVgxZ,5010401008297,キヤノンマーケティングジャパン株式会社,http://canon.jp/,"6: 1,000億円以上",7/27シモムラソウノスケ　☆V 07/09〈木〉、定時00:00、🌟🚨🔴✳✡/💰財務部：03-6719-9071/💰・経理部/部長/白根 昭宏,"6,797.99億円（2025年12月期・連結）","○ 自社HP会社概要。2025年12月期連結売上高679,799百万円。https://corporate.jp.canon/profile/about"
001Nn00000eVh6u,3220001014899,シブヤパッケージングシステム株式会社,https://www.shibuya-sps.co.jp/,"5: 300億円以上~1,000億円未満",,確認不可,△ 子会社。自社HP・親会社澁谷工業のIR/グループ情報を確認したが、シブヤパッケージングシステム単体の直近3期売上高を承認ソースで確認できず。https://www.shibuya-sps.co.jp/
001Nn00000eVh72,9020001024888,横浜丸中青果株式会社,https://www.yokohama-marunaka.co.jp/group/yms/,"5: 300億円以上~1,000億円未満",,682億円（2024年3月期・単体）,○ 自社HP会社概要。2024年3月期売上高682億円。https://www.yokohama-marunaka.co.jp/group/yms/index.html
001Nn00000eVh7F,8010001058475,株式会社ミルックス,https://www1.milx.co.jp/about/company.html,"6: 1,000億円以上",,308.20億円（2026年3月期・単体）,"○ 自社HP会社概要。令和8年3月期売上高308億2,000万円。https://www1.milx.co.jp/about/company.html"
001Nn00000eVh7H,9010001115977,株式会社ＲＫコンサルティング,https://www.rkinc.co.jp/index.html,"5: 300億円以上~1,000億円未満",,【300億未満】51億円（2025年10月期・単体）,"× 300億未満。自社採用HP企業情報で2025年10月期売上高5,100百万円。https://www.rkinc.co.jp/recruit/"
001Nn00000eVh7Q,5020001022870,エバラ食品工業株式会社,https://www.ebarafoods.com/company/about/company/,"5: 300億円以上~1,000億円未満",イイヅカカイト,500.05億円（2026年3月期・連結）,○ 自社HP会社概要。2026年3月期連結売上高500億5百万円。https://www.ebarafoods.com/company/about/company/
001Nn00000eVh7R,5120001077475,株式会社ショクリュー,https://shokuryu.co.jp/company/outline/,"6: 1,000億円以上",🔵MC:管理本部／総務人事部 06-6647-6270,"1,359.9259億円（2025年3月期・単体）","○ 自社HP会社概要。2025年3月期売上高1,359億9,259万円。https://shokuryu.co.jp/company/outline/"
001Nn00000eVh7d,6180001015239,株式会社日特スパークテックＷＫＳ,https://sparktec-wks.co.jp/publics/index/3/,"5: 300億円以上~1,000億円未満",,"1,028億円（2024年度・単体）","○ 自社HP会社概要。2024年度売上高1,028億円。https://sparktec-wks.co.jp/pages/3/"
